cross_bin,share_feature,outcome_col,n_rows,n_groups,var_treatment,r2_y_nuisance,r2_t_nuisance,skip_reason,share_q01,share_q50,share_q99,support_width_1_99,bootstrap_success,effect_per_1pp,effect_per_5pp,ci_low,ci_high,p_value,q_value,abs_effect_per_1pp,soc_bin_x,rate_bin_x,temp_bin_x,cross_label,significant_positive,ci_cross_zero,effect_rank,risk_category,ir_effect_per_1pp,ir_ci_low,ir_ci_high,effect_rank_ir,cross_bin_name,condition_text,condition_text_detailed,soc_bin_y,rate_bin_y,temp_bin_y,soc_label,rate_label,temp_label,rate_edge_low_raw,rate_edge_high_raw,temp_edge_low_raw,temp_edge_high_raw,temp_edge_low_int,temp_edge_high_int
5,share_05,y_cap_drop_h,98893,173,3.6364417704551957e-10,0.3134462654203637,0.0862991698191582,,0.0,0.0,0.0001063653395976,0.0001063653395976,400,1.246480463282167,6.232402316410836,0.2303071695873152,2.21497957221613,0.015,0.055,1.246480463282167,1,1,5,s1_r1_t5,True,False,1,dual_risk,3.787506633195497,2.693288763782091,4.856201278968994,1,bin05,"SOC [0,10) / 倍率 [0,0.434) / 温度 [36,60]","SOC [0,10) / 倍率 [0,0.434) / 温度 [36,60]",1,1,5,"[0,10)","[0,0.434)","[36,60]",0.0,0.433943034384417,35.8969029959803,59.9718010305914,36,60
51,share_51,y_cap_drop_h,98893,173,1.2174620522007776e-09,0.3134462654203637,-0.0041600924404783,,0.0,0.0,0.0,0.0,400,0.1404623545282688,0.7023117726413445,-0.5257014464751397,0.9211602354843568,0.195,0.325,0.1404623545282688,3,3,1,s3_r3_t1,False,True,2,uncertain,0.2653150557685825,-0.8564684563850236,0.8884183579530883,2,bin51,"SOC [90,100] / 倍率 [1.99,4.22) / 温度 [20,31)","SOC [90,100] / 倍率 [1.99,4.22) / 温度 [20,31]",3,3,1,"[90,100]","[1.99,4.22)","[20,31)",1.98918466558033,4.22207600287026,20.002569,31.1253606372536,20,31
8,share_08,y_cap_drop_h,98893,173,1.852131453717832e-08,0.3134462654203637,0.0092055716744992,,0.0,0.0,0.0001715517870616,0.0001715517870616,400,0.0569049224840691,0.2845246124203455,-0.0018588487796712,0.3638520256324983,0.055,0.1374999999999999,0.0569049224840691,1,2,3,s1_r2_t3,False,True,3,ir_dominant_risk,0.0903768262057792,0.0203041723943533,0.5279880404315325,3,bin08,"SOC [0,10) / 倍率 [0.434,1.99) / 温度 [32,34)","SOC [0,10) / 倍率 [0.434,1.99) / 温度 [32,34]",1,2,3,"[0,10)","[0.434,1.99)","[32,34)",0.433943034384417,1.98918466558033,32.3991159,34.0075782321181,32,34
7,share_07,y_cap_drop_h,98893,173,3.638329999494228e-06,0.3134462654203637,0.0019051582955795,,0.0,0.0,0.0002002352703129,0.0002002352703129,400,0.013629790138001,0.0681489506900054,-0.0052868196109494,0.0646308539926572,0.08,0.176,0.013629790138001,1,2,2,s1_r2_t2,False,True,4,uncertain,0.0249890249863408,-0.0084638341737363,0.0818152074298877,4,bin07,"SOC [0,10) / 倍率 [0.434,1.99) / 温度 [31,32)","SOC [0,10) / 倍率 [0.434,1.99) / 温度 [31,32]",1,2,2,"[0,10)","[0.434,1.99)","[31,32)",0.433943034384417,1.98918466558033,31.1253606372536,32.3991159,31,32
6,share_06,y_cap_drop_h,98893,173,1.0073633055967614e-05,0.3134462654203637,0.0019845376216849,,0.0,0.0,0.0001564280031016,0.0001564280031016,400,0.010112045163598,0.0505602258179903,-0.0057702004751136,0.0188498053127648,0.08,0.176,0.010112045163598,1,2,1,s1_r2_t1,False,True,5,ir_dominant_risk,0.0178089557415604,0.0002673671350972,0.0276982211382442,5,bin06,"SOC [0,10) / 倍率 [0.434,1.99) / 温度 [20,31)","SOC [0,10) / 倍率 [0.434,1.99) / 温度 [20,31]",1,2,1,"[0,10)","[0.434,1.99)","[20,31)",0.433943034384417,1.98918466558033,20.002569,31.1253606372536,20,31
54,share_54,y_cap_drop_h,98893,173,2.858473893574535e-06,0.3134462654203637,-0.0059285752687954,,0.0,0.0,0.0051854509860278,0.0051854509860278,400,0.0079898255602893,0.0399491278014468,-0.001805186004813,0.0227697927983379,0.12,0.2444444444444444,0.0079898255602893,3,3,4,s3_r3_t4,False,True,6,uncertain,0.0096833787642587,-0.000796985128477,0.0369715342612239,7,bin54,"SOC [90,100] / 倍率 [1.99,4.22) / 温度 [34,36)","SOC [90,100] / 倍率 [1.99,4.22) / 温度 [34,36]",3,3,4,"[90,100]","[1.99,4.22)","[34,36)",1.98918466558033,4.22207600287026,34.0075782321181,35.8969029959803,34,36
55,share_55,y_cap_drop_h,98893,173,8.23666228254045e-07,0.3134462654203637,-0.0013401966868911,,0.0,0.0,0.0,0.0,400,0.0045217742260478,0.0226088711302391,-0.0096724369474999,0.0447261412149964,0.45,0.5892857142857143,0.0045217742260478,3,3,5,s3_r3_t5,False,True,7,uncertain,0.0101723605555322,-0.0060957775215881,0.0546536342898583,6,bin55,"SOC [90,100] / 倍率 [1.99,4.22) / 温度 [36,60]","SOC [90,100] / 倍率 [1.99,4.22) / 温度 [36,60]",3,3,5,"[90,100]","[1.99,4.22)","[36,60]",1.98918466558033,4.22207600287026,35.8969029959803,59.9718010305914,36,60
17,share_17,y_cap_drop_h,98893,173,0.0001348391505188,0.3134462654203637,0.1621374044456642,,0.0,0.0,0.0453699901700019,0.0453699901700019,400,0.0043441968536064,0.0217209842680324,0.0024028204644858,0.0061683069453493,0.0,0.0,0.0043441968536064,1,4,2,s1_r4_t2,True,False,8,dual_risk,0.0029698927177773,0.0010451609614381,0.0049618528764188,11,bin17,"SOC [0,10) / 倍率 [4.22,7.75] / 温度 [31,32)","SOC [0,10) / 倍率 [4.22,7.75] / 温度 [31,32]",1,4,2,"[0,10)","[4.22,7.75]","[31,32)",4.22207600287026,7.75083964660862,31.1253606372536,32.3991159,31,32
16,share_16,y_cap_drop_h,98893,173,5.294700473456083e-05,0.3134462654203637,0.1402175577748218,,0.0,0.0,0.0385951328277587,0.0385951328277587,400,0.0035635702576244,0.017817851288122,0.0005667465370507,0.0069553404236424,0.025,0.0808823529411764,0.0035635702576244,1,4,1,s1_r4_t1,True,False,9,dual_risk,0.0043861845345586,0.0009338014069152,0.0081799488187131,9,bin16,"SOC [0,10) / 倍率 [4.22,7.75] / 温度 [20,31)","SOC [0,10) / 倍率 [4.22,7.75] / 温度 [20,31]",1,4,1,"[0,10)","[4.22,7.75]","[20,31)",4.22207600287026,7.75083964660862,20.002569,31.1253606372536,20,31
18,share_18,y_cap_drop_h,98893,173,0.0001994680075308,0.3134462654203637,0.1562662428861063,,0.0,0.0,0.0522466003894805,0.0522466003894805,400,0.0021276663036104,0.0106383315180523,0.0003058544381167,0.0035421543233081,0.02,0.06875,0.0021276663036104,1,4,3,s1_r4_t3,True,False,10,cap_dominant_risk,0.0015311147100248,-0.0004426274998744,0.0032872215896282,15,bin18,"SOC [0,10) / 倍率 [4.22,7.75] / 温度 [32,34)","SOC [0,10) / 倍率 [4.22,7.75] / 温度 [32,34]",1,4,3,"[0,10)","[4.22,7.75]","[32,34)",4.22207600287026,7.75083964660862,32.3991159,34.0075782321181,32,34
