cross_bin,cross_label,soc_bin,rate_bin,temp_bin,cap_effect_per_1pp,cap_ci_low,cap_ci_high,cap_p_value,cap_q_value,cap_n_rows,cap_n_groups,cap_support_width_1_99,ir_effect_per_1pp,ir_ci_low,ir_ci_high,ir_p_value,ir_q_value,ir_n_rows,ir_n_groups,ir_support_width_1_99,risk_category,cap_significant_positive,ir_significant_positive,cap_ci_cross_zero,ir_ci_cross_zero,effect_rank_capacity,effect_rank_ir,max_abs_effect_per_1pp
18,s1_r4_t3,1,4,3,0.0021276663036104,0.0003058544381167,0.0035421543233081,0.02,0.06875,98893,173,0.0522466003894805,0.0015311147100248,-0.0004426274998744,0.0032872215896282,0.115,0.2342592592592592,98893,173,0.0522466003894805,cap_dominant_risk,True,False,False,True,10,15,0.0021276663036104
39,s2_r4_t4,2,4,4,0.0005774597115968,0.0001494365096922,0.0010306387017479,0.01,0.0392857142857142,98893,173,0.2437656968832016,0.0001852024096855,-0.0003230883453372,0.000657648851395,0.39,0.5499999999999999,98893,173,0.2437656968832016,cap_dominant_risk,True,False,False,True,16,21,0.0005774597115968
5,s1_r1_t5,1,1,5,1.246480463282167,0.2303071695873152,2.21497957221613,0.015,0.055,98893,173,0.0001063653395976,3.787506633195497,2.693288763782091,4.856201278968994,0.0,0.0,98893,173,0.0001063653395976,dual_risk,True,True,False,False,1,1,3.787506633195497
16,s1_r4_t1,1,4,1,0.0035635702576244,0.0005667465370507,0.0069553404236424,0.025,0.0808823529411764,98893,173,0.0385951328277587,0.0043861845345586,0.0009338014069152,0.0081799488187131,0.01,0.0423076923076923,98893,173,0.0385951328277587,dual_risk,True,True,False,False,9,9,0.0043861845345586
17,s1_r4_t2,1,4,2,0.0043441968536064,0.0024028204644858,0.0061683069453493,0.0,0.0,98893,173,0.0453699901700019,0.0029698927177773,0.0010451609614381,0.0049618528764188,0.0,0.0,98893,173,0.0453699901700019,dual_risk,True,True,False,False,8,11,0.0043441968536064
36,s2_r4_t1,2,4,1,0.0015528655440948,0.0004502280567102,0.002393136558024,0.01,0.0392857142857142,98893,173,0.134493812918663,0.0021038336216415,0.0006565652941893,0.0034093887180847,0.01,0.0423076923076923,98893,173,0.134493812918663,dual_risk,True,True,False,False,12,13,0.0021038336216415
37,s2_r4_t2,2,4,2,0.0015513587698252,0.000895643527244,0.0032990452043102,0.0,0.0,98893,173,0.134279550909996,0.0015335371863552,0.0007600946965871,0.0034342009912491,0.0,0.0,98893,173,0.134279550909996,dual_risk,True,True,False,False,13,14,0.0015513587698252
38,s2_r4_t3,2,4,3,0.0011593222977219,0.0007330813757052,0.0017233619108547,0.0,0.0,98893,173,0.2558722794055938,0.0009887971177951,0.0004719428335602,0.0016402470666155,0.0,0.0,98893,173,0.2558722794055938,dual_risk,True,True,False,False,14,16,0.0011593222977219
42,s3_r1_t2,3,1,2,0.0002601070611893,2.337468380233441e-05,0.0005034076514007,0.04,0.1157894736842105,98893,173,0.3716228902339935,0.0004181736194671,0.0001377761412875,0.0007289267994542,0.005,0.0305555555555555,98893,173,0.3716228902339935,dual_risk,True,True,False,False,21,19,0.0004181736194671
8,s1_r2_t3,1,2,3,0.0569049224840691,-0.0018588487796712,0.3638520256324983,0.055,0.1374999999999999,98893,173,0.0001715517870616,0.0903768262057792,0.0203041723943533,0.5279880404315325,0.015,0.055,98893,173,0.0001715517870616,ir_dominant_risk,False,True,True,False,3,3,0.0903768262057792
