cross_bin,cross_bin_name,cross_label,condition_text,condition_text_detailed,soc_bin,rate_bin,temp_bin,soc_label,rate_label,temp_label,rate_edge_low_raw,rate_edge_high_raw,temp_edge_low_raw,temp_edge_high_raw,temp_edge_low_int,temp_edge_high_int
1,bin01,s1_r1_t1,"SOC [0,10) / 倍率 [0,0.434) / 温度 [20,31)","SOC [0,10) / 倍率 [0,0.434) / 温度 [20,31]",1,1,1,"[0,10)","[0,0.434)","[20,31)",0.0,0.433943034384417,20.002569,31.1253606372536,20,31
2,bin02,s1_r1_t2,"SOC [0,10) / 倍率 [0,0.434) / 温度 [31,32)","SOC [0,10) / 倍率 [0,0.434) / 温度 [31,32]",1,1,2,"[0,10)","[0,0.434)","[31,32)",0.0,0.433943034384417,31.1253606372536,32.3991159,31,32
3,bin03,s1_r1_t3,"SOC [0,10) / 倍率 [0,0.434) / 温度 [32,34)","SOC [0,10) / 倍率 [0,0.434) / 温度 [32,34]",1,1,3,"[0,10)","[0,0.434)","[32,34)",0.0,0.433943034384417,32.3991159,34.0075782321181,32,34
4,bin04,s1_r1_t4,"SOC [0,10) / 倍率 [0,0.434) / 温度 [34,36)","SOC [0,10) / 倍率 [0,0.434) / 温度 [34,36]",1,1,4,"[0,10)","[0,0.434)","[34,36)",0.0,0.433943034384417,34.0075782321181,35.8969029959803,34,36
5,bin05,s1_r1_t5,"SOC [0,10) / 倍率 [0,0.434) / 温度 [36,60]","SOC [0,10) / 倍率 [0,0.434) / 温度 [36,60]",1,1,5,"[0,10)","[0,0.434)","[36,60]",0.0,0.433943034384417,35.8969029959803,59.9718010305914,36,60
6,bin06,s1_r2_t1,"SOC [0,10) / 倍率 [0.434,1.99) / 温度 [20,31)","SOC [0,10) / 倍率 [0.434,1.99) / 温度 [20,31]",1,2,1,"[0,10)","[0.434,1.99)","[20,31)",0.433943034384417,1.98918466558033,20.002569,31.1253606372536,20,31
7,bin07,s1_r2_t2,"SOC [0,10) / 倍率 [0.434,1.99) / 温度 [31,32)","SOC [0,10) / 倍率 [0.434,1.99) / 温度 [31,32]",1,2,2,"[0,10)","[0.434,1.99)","[31,32)",0.433943034384417,1.98918466558033,31.1253606372536,32.3991159,31,32
8,bin08,s1_r2_t3,"SOC [0,10) / 倍率 [0.434,1.99) / 温度 [32,34)","SOC [0,10) / 倍率 [0.434,1.99) / 温度 [32,34]",1,2,3,"[0,10)","[0.434,1.99)","[32,34)",0.433943034384417,1.98918466558033,32.3991159,34.0075782321181,32,34
9,bin09,s1_r2_t4,"SOC [0,10) / 倍率 [0.434,1.99) / 温度 [34,36)","SOC [0,10) / 倍率 [0.434,1.99) / 温度 [34,36]",1,2,4,"[0,10)","[0.434,1.99)","[34,36)",0.433943034384417,1.98918466558033,34.0075782321181,35.8969029959803,34,36
10,bin10,s1_r2_t5,"SOC [0,10) / 倍率 [0.434,1.99) / 温度 [36,60]","SOC [0,10) / 倍率 [0.434,1.99) / 温度 [36,60]",1,2,5,"[0,10)","[0.434,1.99)","[36,60]",0.433943034384417,1.98918466558033,35.8969029959803,59.9718010305914,36,60
11,bin11,s1_r3_t1,"SOC [0,10) / 倍率 [1.99,4.22) / 温度 [20,31)","SOC [0,10) / 倍率 [1.99,4.22) / 温度 [20,31]",1,3,1,"[0,10)","[1.99,4.22)","[20,31)",1.98918466558033,4.22207600287026,20.002569,31.1253606372536,20,31
12,bin12,s1_r3_t2,"SOC [0,10) / 倍率 [1.99,4.22) / 温度 [31,32)","SOC [0,10) / 倍率 [1.99,4.22) / 温度 [31,32]",1,3,2,"[0,10)","[1.99,4.22)","[31,32)",1.98918466558033,4.22207600287026,31.1253606372536,32.3991159,31,32
13,bin13,s1_r3_t3,"SOC [0,10) / 倍率 [1.99,4.22) / 温度 [32,34)","SOC [0,10) / 倍率 [1.99,4.22) / 温度 [32,34]",1,3,3,"[0,10)","[1.99,4.22)","[32,34)",1.98918466558033,4.22207600287026,32.3991159,34.0075782321181,32,34
14,bin14,s1_r3_t4,"SOC [0,10) / 倍率 [1.99,4.22) / 温度 [34,36)","SOC [0,10) / 倍率 [1.99,4.22) / 温度 [34,36]",1,3,4,"[0,10)","[1.99,4.22)","[34,36)",1.98918466558033,4.22207600287026,34.0075782321181,35.8969029959803,34,36
15,bin15,s1_r3_t5,"SOC [0,10) / 倍率 [1.99,4.22) / 温度 [36,60]","SOC [0,10) / 倍率 [1.99,4.22) / 温度 [36,60]",1,3,5,"[0,10)","[1.99,4.22)","[36,60]",1.98918466558033,4.22207600287026,35.8969029959803,59.9718010305914,36,60
16,bin16,s1_r4_t1,"SOC [0,10) / 倍率 [4.22,7.75] / 温度 [20,31)","SOC [0,10) / 倍率 [4.22,7.75] / 温度 [20,31]",1,4,1,"[0,10)","[4.22,7.75]","[20,31)",4.22207600287026,7.75083964660862,20.002569,31.1253606372536,20,31
17,bin17,s1_r4_t2,"SOC [0,10) / 倍率 [4.22,7.75] / 温度 [31,32)","SOC [0,10) / 倍率 [4.22,7.75] / 温度 [31,32]",1,4,2,"[0,10)","[4.22,7.75]","[31,32)",4.22207600287026,7.75083964660862,31.1253606372536,32.3991159,31,32
18,bin18,s1_r4_t3,"SOC [0,10) / 倍率 [4.22,7.75] / 温度 [32,34)","SOC [0,10) / 倍率 [4.22,7.75] / 温度 [32,34]",1,4,3,"[0,10)","[4.22,7.75]","[32,34)",4.22207600287026,7.75083964660862,32.3991159,34.0075782321181,32,34
19,bin19,s1_r4_t4,"SOC [0,10) / 倍率 [4.22,7.75] / 温度 [34,36)","SOC [0,10) / 倍率 [4.22,7.75] / 温度 [34,36]",1,4,4,"[0,10)","[4.22,7.75]","[34,36)",4.22207600287026,7.75083964660862,34.0075782321181,35.8969029959803,34,36
20,bin20,s1_r4_t5,"SOC [0,10) / 倍率 [4.22,7.75] / 温度 [36,60]","SOC [0,10) / 倍率 [4.22,7.75] / 温度 [36,60]",1,4,5,"[0,10)","[4.22,7.75]","[36,60]",4.22207600287026,7.75083964660862,35.8969029959803,59.9718010305914,36,60
21,bin21,s2_r1_t1,"SOC [10,90) / 倍率 [0,0.434) / 温度 [20,31)","SOC [10,90) / 倍率 [0,0.434) / 温度 [20,31]",2,1,1,"[10,90)","[0,0.434)","[20,31)",0.0,0.433943034384417,20.002569,31.1253606372536,20,31
22,bin22,s2_r1_t2,"SOC [10,90) / 倍率 [0,0.434) / 温度 [31,32)","SOC [10,90) / 倍率 [0,0.434) / 温度 [31,32]",2,1,2,"[10,90)","[0,0.434)","[31,32)",0.0,0.433943034384417,31.1253606372536,32.3991159,31,32
23,bin23,s2_r1_t3,"SOC [10,90) / 倍率 [0,0.434) / 温度 [32,34)","SOC [10,90) / 倍率 [0,0.434) / 温度 [32,34]",2,1,3,"[10,90)","[0,0.434)","[32,34)",0.0,0.433943034384417,32.3991159,34.0075782321181,32,34
24,bin24,s2_r1_t4,"SOC [10,90) / 倍率 [0,0.434) / 温度 [34,36)","SOC [10,90) / 倍率 [0,0.434) / 温度 [34,36]",2,1,4,"[10,90)","[0,0.434)","[34,36)",0.0,0.433943034384417,34.0075782321181,35.8969029959803,34,36
25,bin25,s2_r1_t5,"SOC [10,90) / 倍率 [0,0.434) / 温度 [36,60]","SOC [10,90) / 倍率 [0,0.434) / 温度 [36,60]",2,1,5,"[10,90)","[0,0.434)","[36,60]",0.0,0.433943034384417,35.8969029959803,59.9718010305914,36,60
26,bin26,s2_r2_t1,"SOC [10,90) / 倍率 [0.434,1.99) / 温度 [20,31)","SOC [10,90) / 倍率 [0.434,1.99) / 温度 [20,31]",2,2,1,"[10,90)","[0.434,1.99)","[20,31)",0.433943034384417,1.98918466558033,20.002569,31.1253606372536,20,31
27,bin27,s2_r2_t2,"SOC [10,90) / 倍率 [0.434,1.99) / 温度 [31,32)","SOC [10,90) / 倍率 [0.434,1.99) / 温度 [31,32]",2,2,2,"[10,90)","[0.434,1.99)","[31,32)",0.433943034384417,1.98918466558033,31.1253606372536,32.3991159,31,32
28,bin28,s2_r2_t3,"SOC [10,90) / 倍率 [0.434,1.99) / 温度 [32,34)","SOC [10,90) / 倍率 [0.434,1.99) / 温度 [32,34]",2,2,3,"[10,90)","[0.434,1.99)","[32,34)",0.433943034384417,1.98918466558033,32.3991159,34.0075782321181,32,34
29,bin29,s2_r2_t4,"SOC [10,90) / 倍率 [0.434,1.99) / 温度 [34,36)","SOC [10,90) / 倍率 [0.434,1.99) / 温度 [34,36]",2,2,4,"[10,90)","[0.434,1.99)","[34,36)",0.433943034384417,1.98918466558033,34.0075782321181,35.8969029959803,34,36
30,bin30,s2_r2_t5,"SOC [10,90) / 倍率 [0.434,1.99) / 温度 [36,60]","SOC [10,90) / 倍率 [0.434,1.99) / 温度 [36,60]",2,2,5,"[10,90)","[0.434,1.99)","[36,60]",0.433943034384417,1.98918466558033,35.8969029959803,59.9718010305914,36,60
31,bin31,s2_r3_t1,"SOC [10,90) / 倍率 [1.99,4.22) / 温度 [20,31)","SOC [10,90) / 倍率 [1.99,4.22) / 温度 [20,31]",2,3,1,"[10,90)","[1.99,4.22)","[20,31)",1.98918466558033,4.22207600287026,20.002569,31.1253606372536,20,31
32,bin32,s2_r3_t2,"SOC [10,90) / 倍率 [1.99,4.22) / 温度 [31,32)","SOC [10,90) / 倍率 [1.99,4.22) / 温度 [31,32]",2,3,2,"[10,90)","[1.99,4.22)","[31,32)",1.98918466558033,4.22207600287026,31.1253606372536,32.3991159,31,32
33,bin33,s2_r3_t3,"SOC [10,90) / 倍率 [1.99,4.22) / 温度 [32,34)","SOC [10,90) / 倍率 [1.99,4.22) / 温度 [32,34]",2,3,3,"[10,90)","[1.99,4.22)","[32,34)",1.98918466558033,4.22207600287026,32.3991159,34.0075782321181,32,34
34,bin34,s2_r3_t4,"SOC [10,90) / 倍率 [1.99,4.22) / 温度 [34,36)","SOC [10,90) / 倍率 [1.99,4.22) / 温度 [34,36]",2,3,4,"[10,90)","[1.99,4.22)","[34,36)",1.98918466558033,4.22207600287026,34.0075782321181,35.8969029959803,34,36
35,bin35,s2_r3_t5,"SOC [10,90) / 倍率 [1.99,4.22) / 温度 [36,60]","SOC [10,90) / 倍率 [1.99,4.22) / 温度 [36,60]",2,3,5,"[10,90)","[1.99,4.22)","[36,60]",1.98918466558033,4.22207600287026,35.8969029959803,59.9718010305914,36,60
36,bin36,s2_r4_t1,"SOC [10,90) / 倍率 [4.22,7.75] / 温度 [20,31)","SOC [10,90) / 倍率 [4.22,7.75] / 温度 [20,31]",2,4,1,"[10,90)","[4.22,7.75]","[20,31)",4.22207600287026,7.75083964660862,20.002569,31.1253606372536,20,31
37,bin37,s2_r4_t2,"SOC [10,90) / 倍率 [4.22,7.75] / 温度 [31,32)","SOC [10,90) / 倍率 [4.22,7.75] / 温度 [31,32]",2,4,2,"[10,90)","[4.22,7.75]","[31,32)",4.22207600287026,7.75083964660862,31.1253606372536,32.3991159,31,32
38,bin38,s2_r4_t3,"SOC [10,90) / 倍率 [4.22,7.75] / 温度 [32,34)","SOC [10,90) / 倍率 [4.22,7.75] / 温度 [32,34]",2,4,3,"[10,90)","[4.22,7.75]","[32,34)",4.22207600287026,7.75083964660862,32.3991159,34.0075782321181,32,34
39,bin39,s2_r4_t4,"SOC [10,90) / 倍率 [4.22,7.75] / 温度 [34,36)","SOC [10,90) / 倍率 [4.22,7.75] / 温度 [34,36]",2,4,4,"[10,90)","[4.22,7.75]","[34,36)",4.22207600287026,7.75083964660862,34.0075782321181,35.8969029959803,34,36
40,bin40,s2_r4_t5,"SOC [10,90) / 倍率 [4.22,7.75] / 温度 [36,60]","SOC [10,90) / 倍率 [4.22,7.75] / 温度 [36,60]",2,4,5,"[10,90)","[4.22,7.75]","[36,60]",4.22207600287026,7.75083964660862,35.8969029959803,59.9718010305914,36,60
41,bin41,s3_r1_t1,"SOC [90,100] / 倍率 [0,0.434) / 温度 [20,31)","SOC [90,100] / 倍率 [0,0.434) / 温度 [20,31]",3,1,1,"[90,100]","[0,0.434)","[20,31)",0.0,0.433943034384417,20.002569,31.1253606372536,20,31
42,bin42,s3_r1_t2,"SOC [90,100] / 倍率 [0,0.434) / 温度 [31,32)","SOC [90,100] / 倍率 [0,0.434) / 温度 [31,32]",3,1,2,"[90,100]","[0,0.434)","[31,32)",0.0,0.433943034384417,31.1253606372536,32.3991159,31,32
43,bin43,s3_r1_t3,"SOC [90,100] / 倍率 [0,0.434) / 温度 [32,34)","SOC [90,100] / 倍率 [0,0.434) / 温度 [32,34]",3,1,3,"[90,100]","[0,0.434)","[32,34)",0.0,0.433943034384417,32.3991159,34.0075782321181,32,34
44,bin44,s3_r1_t4,"SOC [90,100] / 倍率 [0,0.434) / 温度 [34,36)","SOC [90,100] / 倍率 [0,0.434) / 温度 [34,36]",3,1,4,"[90,100]","[0,0.434)","[34,36)",0.0,0.433943034384417,34.0075782321181,35.8969029959803,34,36
45,bin45,s3_r1_t5,"SOC [90,100] / 倍率 [0,0.434) / 温度 [36,60]","SOC [90,100] / 倍率 [0,0.434) / 温度 [36,60]",3,1,5,"[90,100]","[0,0.434)","[36,60]",0.0,0.433943034384417,35.8969029959803,59.9718010305914,36,60
46,bin46,s3_r2_t1,"SOC [90,100] / 倍率 [0.434,1.99) / 温度 [20,31)","SOC [90,100] / 倍率 [0.434,1.99) / 温度 [20,31]",3,2,1,"[90,100]","[0.434,1.99)","[20,31)",0.433943034384417,1.98918466558033,20.002569,31.1253606372536,20,31
47,bin47,s3_r2_t2,"SOC [90,100] / 倍率 [0.434,1.99) / 温度 [31,32)","SOC [90,100] / 倍率 [0.434,1.99) / 温度 [31,32]",3,2,2,"[90,100]","[0.434,1.99)","[31,32)",0.433943034384417,1.98918466558033,31.1253606372536,32.3991159,31,32
48,bin48,s3_r2_t3,"SOC [90,100] / 倍率 [0.434,1.99) / 温度 [32,34)","SOC [90,100] / 倍率 [0.434,1.99) / 温度 [32,34]",3,2,3,"[90,100]","[0.434,1.99)","[32,34)",0.433943034384417,1.98918466558033,32.3991159,34.0075782321181,32,34
49,bin49,s3_r2_t4,"SOC [90,100] / 倍率 [0.434,1.99) / 温度 [34,36)","SOC [90,100] / 倍率 [0.434,1.99) / 温度 [34,36]",3,2,4,"[90,100]","[0.434,1.99)","[34,36)",0.433943034384417,1.98918466558033,34.0075782321181,35.8969029959803,34,36
50,bin50,s3_r2_t5,"SOC [90,100] / 倍率 [0.434,1.99) / 温度 [36,60]","SOC [90,100] / 倍率 [0.434,1.99) / 温度 [36,60]",3,2,5,"[90,100]","[0.434,1.99)","[36,60]",0.433943034384417,1.98918466558033,35.8969029959803,59.9718010305914,36,60
51,bin51,s3_r3_t1,"SOC [90,100] / 倍率 [1.99,4.22) / 温度 [20,31)","SOC [90,100] / 倍率 [1.99,4.22) / 温度 [20,31]",3,3,1,"[90,100]","[1.99,4.22)","[20,31)",1.98918466558033,4.22207600287026,20.002569,31.1253606372536,20,31
52,bin52,s3_r3_t2,"SOC [90,100] / 倍率 [1.99,4.22) / 温度 [31,32)","SOC [90,100] / 倍率 [1.99,4.22) / 温度 [31,32]",3,3,2,"[90,100]","[1.99,4.22)","[31,32)",1.98918466558033,4.22207600287026,31.1253606372536,32.3991159,31,32
53,bin53,s3_r3_t3,"SOC [90,100] / 倍率 [1.99,4.22) / 温度 [32,34)","SOC [90,100] / 倍率 [1.99,4.22) / 温度 [32,34]",3,3,3,"[90,100]","[1.99,4.22)","[32,34)",1.98918466558033,4.22207600287026,32.3991159,34.0075782321181,32,34
54,bin54,s3_r3_t4,"SOC [90,100] / 倍率 [1.99,4.22) / 温度 [34,36)","SOC [90,100] / 倍率 [1.99,4.22) / 温度 [34,36]",3,3,4,"[90,100]","[1.99,4.22)","[34,36)",1.98918466558033,4.22207600287026,34.0075782321181,35.8969029959803,34,36
55,bin55,s3_r3_t5,"SOC [90,100] / 倍率 [1.99,4.22) / 温度 [36,60]","SOC [90,100] / 倍率 [1.99,4.22) / 温度 [36,60]",3,3,5,"[90,100]","[1.99,4.22)","[36,60]",1.98918466558033,4.22207600287026,35.8969029959803,59.9718010305914,36,60
56,bin56,s3_r4_t1,"SOC [90,100] / 倍率 [4.22,7.75] / 温度 [20,31)","SOC [90,100] / 倍率 [4.22,7.75] / 温度 [20,31]",3,4,1,"[90,100]","[4.22,7.75]","[20,31)",4.22207600287026,7.75083964660862,20.002569,31.1253606372536,20,31
57,bin57,s3_r4_t2,"SOC [90,100] / 倍率 [4.22,7.75] / 温度 [31,32)","SOC [90,100] / 倍率 [4.22,7.75] / 温度 [31,32]",3,4,2,"[90,100]","[4.22,7.75]","[31,32)",4.22207600287026,7.75083964660862,31.1253606372536,32.3991159,31,32
58,bin58,s3_r4_t3,"SOC [90,100] / 倍率 [4.22,7.75] / 温度 [32,34)","SOC [90,100] / 倍率 [4.22,7.75] / 温度 [32,34]",3,4,3,"[90,100]","[4.22,7.75]","[32,34)",4.22207600287026,7.75083964660862,32.3991159,34.0075782321181,32,34
59,bin59,s3_r4_t4,"SOC [90,100] / 倍率 [4.22,7.75] / 温度 [34,36)","SOC [90,100] / 倍率 [4.22,7.75] / 温度 [34,36]",3,4,4,"[90,100]","[4.22,7.75]","[34,36)",4.22207600287026,7.75083964660862,34.0075782321181,35.8969029959803,34,36
60,bin60,s3_r4_t5,"SOC [90,100] / 倍率 [4.22,7.75] / 温度 [36,60]","SOC [90,100] / 倍率 [4.22,7.75] / 温度 [36,60]",3,4,5,"[90,100]","[4.22,7.75]","[36,60]",4.22207600287026,7.75083964660862,35.8969029959803,59.9718010305914,36,60
