cross_bin,share_feature,outcome_col,n_rows,n_groups,var_treatment,r2_y_nuisance,r2_t_nuisance,skip_reason,share_q01,share_q50,share_q99,support_width_1_99,bootstrap_success,effect_per_1pp,effect_per_5pp,ci_low,ci_high,p_value,q_value,abs_effect_per_1pp,soc_bin_x,rate_bin_x,temp_bin_x,cross_label,significant_positive,ci_cross_zero,effect_rank,risk_category,cap_effect_per_1pp,cap_ci_low,cap_ci_high,effect_rank_capacity,cross_bin_name,condition_text,condition_text_detailed,soc_bin_y,rate_bin_y,temp_bin_y,soc_label,rate_label,temp_label,rate_edge_low_raw,rate_edge_high_raw,temp_edge_low_raw,temp_edge_high_raw,temp_edge_low_int,temp_edge_high_int
5,share_05,y_ir_rise_h,98893,173,3.6364417704551957e-10,0.2099061850375789,0.0862991698191582,,0.0,0.0,0.0001063653395976,0.0001063653395976,400,3.787506633195497,18.93753316597748,2.693288763782091,4.856201278968994,0.0,0.0,3.787506633195497,1,1,5,s1_r1_t5,True,False,1,dual_risk,1.246480463282167,0.2303071695873152,2.21497957221613,1,bin05,"SOC [0,10) / 倍率 [0,0.434) / 温度 [36,60]","SOC [0,10) / 倍率 [0,0.434) / 温度 [36,60]",1,1,5,"[0,10)","[0,0.434)","[36,60]",0.0,0.433943034384417,35.8969029959803,59.9718010305914,36,60
51,share_51,y_ir_rise_h,98893,173,1.2174620522007776e-09,0.2099061850375789,-0.0041600924404783,,0.0,0.0,0.0,0.0,400,0.2653150557685825,1.3265752788429128,-0.8564684563850236,0.8884183579530883,0.16,0.303448275862069,0.2653150557685825,3,3,1,s3_r3_t1,False,True,2,uncertain,0.1404623545282688,-0.5257014464751397,0.9211602354843568,2,bin51,"SOC [90,100] / 倍率 [1.99,4.22) / 温度 [20,31)","SOC [90,100] / 倍率 [1.99,4.22) / 温度 [20,31]",3,3,1,"[90,100]","[1.99,4.22)","[20,31)",1.98918466558033,4.22207600287026,20.002569,31.1253606372536,20,31
8,share_08,y_ir_rise_h,98893,173,1.852131453717832e-08,0.2099061850375789,0.0092055716744992,,0.0,0.0,0.0001715517870616,0.0001715517870616,400,0.0903768262057792,0.4518841310288963,0.0203041723943533,0.5279880404315325,0.015,0.055,0.0903768262057792,1,2,3,s1_r2_t3,True,False,3,ir_dominant_risk,0.0569049224840691,-0.0018588487796712,0.3638520256324983,3,bin08,"SOC [0,10) / 倍率 [0.434,1.99) / 温度 [32,34)","SOC [0,10) / 倍率 [0.434,1.99) / 温度 [32,34]",1,2,3,"[0,10)","[0.434,1.99)","[32,34)",0.433943034384417,1.98918466558033,32.3991159,34.0075782321181,32,34
7,share_07,y_ir_rise_h,98893,173,3.638329999494228e-06,0.2099061850375789,0.0019051582955795,,0.0,0.0,0.0002002352703129,0.0002002352703129,400,0.0249890249863408,0.1249451249317044,-0.0084638341737363,0.0818152074298877,0.1,0.22,0.0249890249863408,1,2,2,s1_r2_t2,False,True,4,uncertain,0.013629790138001,-0.0052868196109494,0.0646308539926572,4,bin07,"SOC [0,10) / 倍率 [0.434,1.99) / 温度 [31,32)","SOC [0,10) / 倍率 [0.434,1.99) / 温度 [31,32]",1,2,2,"[0,10)","[0.434,1.99)","[31,32)",0.433943034384417,1.98918466558033,31.1253606372536,32.3991159,31,32
6,share_06,y_ir_rise_h,98893,173,1.0073633055967614e-05,0.2099061850375789,0.0019845376216849,,0.0,0.0,0.0001564280031016,0.0001564280031016,400,0.0178089557415604,0.0890447787078023,0.0002673671350972,0.0276982211382442,0.05,0.1617647058823529,0.0178089557415604,1,2,1,s1_r2_t1,True,False,5,ir_dominant_risk,0.010112045163598,-0.0057702004751136,0.0188498053127648,5,bin06,"SOC [0,10) / 倍率 [0.434,1.99) / 温度 [20,31)","SOC [0,10) / 倍率 [0.434,1.99) / 温度 [20,31]",1,2,1,"[0,10)","[0.434,1.99)","[20,31)",0.433943034384417,1.98918466558033,20.002569,31.1253606372536,20,31
55,share_55,y_ir_rise_h,98893,173,8.23666228254045e-07,0.2099061850375789,-0.0013401966868911,,0.0,0.0,0.0,0.0,400,0.0101723605555322,0.0508618027776611,-0.0060957775215881,0.0546536342898583,0.21,0.3725806451612903,0.0101723605555322,3,3,5,s3_r3_t5,False,True,6,uncertain,0.0045217742260478,-0.0096724369474999,0.0447261412149964,7,bin55,"SOC [90,100] / 倍率 [1.99,4.22) / 温度 [36,60]","SOC [90,100] / 倍率 [1.99,4.22) / 温度 [36,60]",3,3,5,"[90,100]","[1.99,4.22)","[36,60]",1.98918466558033,4.22207600287026,35.8969029959803,59.9718010305914,36,60
54,share_54,y_ir_rise_h,98893,173,2.858473893574535e-06,0.2099061850375789,-0.0059285752687954,,0.0,0.0,0.0051854509860278,0.0051854509860278,400,0.0096833787642587,0.0484168938212935,-0.000796985128477,0.0369715342612239,0.085,0.2125,0.0096833787642587,3,3,4,s3_r3_t4,False,True,7,uncertain,0.0079898255602893,-0.001805186004813,0.0227697927983379,6,bin54,"SOC [90,100] / 倍率 [1.99,4.22) / 温度 [34,36)","SOC [90,100] / 倍率 [1.99,4.22) / 温度 [34,36]",3,3,4,"[90,100]","[1.99,4.22)","[34,36)",1.98918466558033,4.22207600287026,34.0075782321181,35.8969029959803,34,36
53,share_53,y_ir_rise_h,98893,173,1.0296919275536223e-06,0.2099061850375789,0.0215006609054891,,0.0,0.0,0.0,0.0,400,0.0048706166315493,0.0243530831577465,-0.0261976602631538,0.0285529054200199,0.76,0.8642857142857143,0.0048706166315493,3,3,3,s3_r3_t3,False,True,8,uncertain,-0.0023402735912742,-0.0267399633429285,0.0161184974164844,45,bin53,"SOC [90,100] / 倍率 [1.99,4.22) / 温度 [32,34)","SOC [90,100] / 倍率 [1.99,4.22) / 温度 [32,34]",3,3,3,"[90,100]","[1.99,4.22)","[32,34)",1.98918466558033,4.22207600287026,32.3991159,34.0075782321181,32,34
16,share_16,y_ir_rise_h,98893,173,5.294700473456083e-05,0.2099061850375789,0.1402175577748218,,0.0,0.0,0.0385951328277587,0.0385951328277587,400,0.0043861845345586,0.0219309226727932,0.0009338014069152,0.0081799488187131,0.01,0.0423076923076923,0.0043861845345586,1,4,1,s1_r4_t1,True,False,9,dual_risk,0.0035635702576244,0.0005667465370507,0.0069553404236424,9,bin16,"SOC [0,10) / 倍率 [4.22,7.75] / 温度 [20,31)","SOC [0,10) / 倍率 [4.22,7.75] / 温度 [20,31]",1,4,1,"[0,10)","[4.22,7.75]","[20,31)",4.22207600287026,7.75083964660862,20.002569,31.1253606372536,20,31
3,share_03,y_ir_rise_h,98893,173,1.0154357260913652e-09,0.2099061850375789,0.0973160132639539,,0.0,0.0,0.0001159269729396,0.0001159269729396,400,0.0041314840741603,0.0206574203708017,-0.7039104406844318,0.7058290426632485,0.865,0.8976415094339624,0.0041314840741603,1,1,3,s1_r1_t3,False,True,10,uncertain,-0.3448867698934025,-0.8886597933119205,0.1457309499015188,51,bin03,"SOC [0,10) / 倍率 [0,0.434) / 温度 [32,34)","SOC [0,10) / 倍率 [0,0.434) / 温度 [32,34]",1,1,3,"[0,10)","[0,0.434)","[32,34)",0.0,0.433943034384417,32.3991159,34.0075782321181,32,34
