policy,cell_code,rho_cycle_q,rho_cycle_ir,rho_y_capdrop_vs_y_irrise,n_rows
1C_4PER_6C,460518,-0.9841199850018748,0.535745835389932,0.898132733408324,126
2C_2PER_5C,460602,-0.958840793326768,0.3663511740034834,0.9607060634322274,264
2C_7PER_5_5C,460673,-0.9947578789970094,0.6198258999210107,0.9771135265700484,161
3_6C-80PER_3_6C,460486,-0.9967211753407741,0.6357797538660741,0.5225854135974237,972
3_6C-80PER_3_6C,460514,-0.9381446456795359,0.6267486059178771,-0.03342172888088466,984
3_6C-80PER_3_6C,460623,-0.996556340155771,0.6479294538518819,0.4853459593803921,970
3_6C_22PER_5_5C,460655,-0.9959873863444517,0.6844381389546832,0.9696627113329956,271
3_6C_2PER_4_85C,460635,-0.9643141236358328,0.6406109297854709,0.972593479203941,307
3_6C_30PER_6C,460634,-0.9979684038878531,0.8841480917365679,0.902211610957527,345
3_6C_30PER_6C,734853,-0.9728720783472034,0.8130020720702479,0.9866840801560465,261
3_6C_30PER_6C,739496,-0.9717117234738758,0.7941933430709349,0.9937992150078744,245
3_6C_9PER_5C,460451,-0.9940103132527327,0.4291409225830614,0.9792826714358456,396
3_6C_9PER_5C,720452,-0.5079942817085079,0.5256132316612127,0.9982587986077736,214
3_6C_9PER_5C,737391,-0.6742954414007045,0.4294378087169013,0.9936773752563226,209
3_6C_9PER_5C_SLOWCYCLE,737260,-0.9776034729416407,0.09963077226655738,0.9979565351031978,233
3_7C_31PER_5_9C_NEWSTRUCTURE,737229,-0.9999881416163747,0.9934847963214348,0.7601178248997003,466
3_7C_31PER_5_9C_NEWSTRUCTURE,737234,-0.9999138248127931,0.997681437301259,0.8931555992495356,340
3_7C_31PER_5_9C_NEWSTRUCTURE,737366,-0.9999703656095785,0.99501452552425,0.7805311565565967,571
4C-80PER_4C,464865,-0.9966065196723636,0.5522287420844953,0.42724531646031955,1020
4C-80PER_4C,464977,-0.9971038321896547,0.6526906418968692,0.30553884660206043,1022
4C_13PER_5C,460466,-0.9878090675498993,0.4428121019667371,0.9752444636180615,305
4C_31PER_5,460510,-0.9978709821060646,0.7275382003646251,0.9783417819146646,290
4C_40PER_6C,463208,-0.9970493178384339,0.922293012524483,0.9929254680221486,320
4C_4PER_4_85C,460449,-0.9684728362774088,0.7356567539148745,0.9548570127022993,309
4_4C-80PER_4_4C,464883,-0.9966633702214933,0.16823295372297048,0.49401181738837024,871
4_4C_24PER_5C,460478,-0.9322458182580882,0.5566019185503237,0.8890385052348243,325
4_4C_47PER_5_5C,460480,-0.9958339298088927,0.7221182544271887,0.9565666083366985,323
4_4C_55PER_6C,440551,-0.9993303305094857,0.7171804073649963,0.9280182356918426,289
