scheme,group,group_label,effect_plus_1c,ci_low,ci_high,bootstrap_success,n_rows,n_clusters,scheme_display,treatment_mode
fixed4,cycle_0_500,0-500,0.009639151208782873,0.007148833762200891,0.012587793072718631,400,72096,180,固定分段4段,initial
fixed4,cycle_500_1000,500-1000,0.025763245365755277,0.020671565569870144,0.030378931717813393,400,24133,92,固定分段4段,initial
fixed4,cycle_1000_1500,1000-1500,0.03365115742450088,0.005926508503844993,0.052755248853204324,400,3924,14,固定分段4段,initial
fixed4,cycle_1500_max,1500-max,0.025366872652884606,-0.05364130324855648,0.050520246844455136,400,1496,5,固定分段4段,initial
quantile4,q1,Q1,0.006819820469648544,0.0048309553850136005,0.008600905506093163,400,25503,180,分位数分段4段,initial
quantile4,q2,Q2,0.003952097658635145,-0.0011844799552461981,0.009631145336920301,400,25301,178,分位数分段4段,initial
quantile4,q3,Q3,0.022304527322620022,0.01810879403812961,0.027138856477299685,400,25382,141,分位数分段4段,initial
quantile4,q4,Q4,0.025774571225130282,0.01923969308416986,0.0312977393893007,400,25463,83,分位数分段4段,initial
fixed4,cycle_0_500,0-500,0.012870529674877201,0.010386368395419182,0.015030467911652004,400,72096,180,固定分段4段,window_mean
fixed4,cycle_500_1000,500-1000,0.01866602904619252,0.014330998556749361,0.02297856103320827,400,24133,92,固定分段4段,window_mean
fixed4,cycle_1000_1500,1000-1500,0.018978227132099103,0.011770647713150957,0.027194101644213323,400,3924,14,固定分段4段,window_mean
fixed4,cycle_1500_max,1500-max,0.016636183907423916,0.008633226332817918,0.04091590270033444,400,1496,5,固定分段4段,window_mean
quantile4,q1,Q1,0.007000355682167196,0.0053961696106982655,0.00879250802608344,400,25413,180,分位数分段4段,window_mean
quantile4,q2,Q2,0.01980197056102161,0.01402765770645422,0.02546983545671849,400,25412,178,分位数分段4段,window_mean
quantile4,q3,Q3,0.014187982259375431,0.010867579979264286,0.01766629617554103,400,25412,140,分位数分段4段,window_mean
quantile4,q4,Q4,0.01961086765587631,0.015710508502213533,0.023229072106341456,400,25412,83,分位数分段4段,window_mean
