metric,value
run_time,2026-03-28 16:13:52
python_executable,C:\Users\pal\.virtualenvs\colab-OixbOpvz\Scripts\python.EXE
python_version,3.12.10
horizon_cycles,200
treatment_mode,window_mean
exclude_policy_prefix,VARCHARGE
n_rows,101649
n_policy,78
n_cell,175
n_policy_cell,180
treatment_min,1.0296835890160763
treatment_max,5.656836776246979
treatment_q01,1.0769062811635643
treatment_q99,5.304986144272502
treatment_std,0.8266939717084658
grid_base_min,1.436680589255968
grid_base_max,3.83668058925597
grid_base_points,25
grid_eval_points,50
bandwidth,0.2
treatment_residual_std,0.7470581149582453
q_ref_coverage,1.0
window_mean_coverage,0.9946765979210638
window_mean_raw_min,0.0052695884060893925
window_mean_raw_max,280.75584380652526
window_mean_raw_q01,1.0296835890160763
window_mean_raw_q99,5.656836776246979
window_mean_clip_low,1.0296835890160763
window_mean_clip_high,5.656836776246979
window_mean_clip_low_share,0.01000130357323909
window_mean_clip_high_share,0.01000130357323909
window_mean_qref_cycles,20.0
window_mean_clip_quantile_low,0.01
window_mean_clip_quantile_high,0.99
comparison_intersection_rows,101649.0
comparison_intersection_clusters,180.0
comparison_initial_rows_before_intersection,102449.0
comparison_window_mean_rows_before_intersection,101649.0
