cross_bin,share_feature,soc_bin,rate_bin,temp_bin,cross_label,n_rows,n_groups,var_treatment,r2_y_nuisance,r2_t_nuisance,skip_reason,effect_per_1pp_ah,effect_per_5pp_ah,ci_low,ci_high,p_value,q_value,placebo_mean_1pp_ah,placebo_std_1pp_ah,abs_effect_per_1pp_ah
50,share_50,3,2,5,s3_r2_t5,93192,117,0.0025300848132727987,0.974916385110515,0.2969323423470981,,0.00013775323282990006,0.0006887661641495004,2.7571121527932758e-05,0.00022256692568542824,0.008,0.04,6.882457239952077e-07,4.947309422253018e-06,0.00013775323282990006
44,share_44,3,1,4,s3_r1_t4,93192,117,0.002530261173378958,0.9758430957834403,0.28090786817600577,,0.00011984952690898758,0.0005992476345449379,3.91048304369941e-05,0.00021781399063078443,0.004,0.04,-4.3631052364978376e-07,4.595246754951248e-06,0.00011984952690898758
27,share_27,2,2,2,s2_r2_t2,93192,117,0.0009397312999389901,0.9781319785036667,0.28329580769283524,,0.00019697563337841157,0.000984878166892058,-2.6861757197890603e-05,0.0004619731729272455,0.064,0.21333333333333335,6.124114179235559e-07,9.560114356023747e-06,0.00019697563337841157
25,share_25,2,1,5,s2_r1_t5,93192,117,3.144814760848682e-07,0.9756201168017412,0.03416455844438793,,0.006967202511215493,0.03483601255607747,-0.003633491671042418,0.01579875695652872,0.136,0.25333333333333335,-2.8437537064075086e-05,0.00046462914054783643,0.006967202511215493
30,share_30,2,2,5,s2_r2_t5,93192,117,0.0018003828921496219,0.9750827803985205,0.30707870835505224,,0.00011632224746148151,0.0005816112373074076,-4.225935988494288e-05,0.0002671938325537212,0.152,0.25333333333333335,-5.265178594518454e-07,6.116563622202477e-06,0.00011632224746148151
41,share_41,3,1,1,s3_r1_t1,93192,117,0.007849821224220527,0.9758053418562407,0.6251255334401096,,-7.457326319920616e-05,-0.0003728663159960308,-0.00018587018514142992,1.8055571041154195e-05,0.104,0.25333333333333335,3.207580720831177e-07,2.9766701241352316e-06,7.457326319920616e-05
29,share_29,2,2,4,s2_r2_t4,93192,117,0.001406665558396288,0.9740003763456025,0.2801904573538907,,7.891675723239377e-05,0.00039458378616196886,-5.7632585574373075e-05,0.00020910049902384803,0.292,0.41714285714285715,-9.301358099737008e-07,7.854315933307572e-06,7.891675723239377e-05
28,share_28,2,2,3,s2_r2_t3,93192,117,0.0017241763658757611,0.9754086687091693,0.23468903603709312,,1.0688528695399744e-05,5.344264347699872e-05,-0.00013830703174991552,0.00016252686159858943,0.964,0.9640000000000001,2.012770687966395e-07,6.238043684164345e-06,1.0688528695399744e-05
49,share_49,3,2,4,s3_r2_t4,93192,117,0.0032705581362907814,0.9746149324995668,0.2598191130478771,,9.745258963151239e-06,4.872629481575619e-05,-0.00010423061477410595,0.00011281218746684775,0.892,0.9640000000000001,3.8339198476081986e-07,4.435799156621737e-06,9.745258963151239e-06
43,share_43,3,1,3,s3_r1_t3,93192,117,0.006152055270605023,0.9754068232412619,0.2661573266018642,,4.755998084872186e-06,2.377999042436093e-05,-5.918610270709495e-05,6.679314008825328e-05,0.844,0.9640000000000001,-6.267570978923318e-08,3.59643037149004e-06,4.755998084872186e-06
