cross_bin,share_feature,soc_bin,rate_bin,temp_bin,cross_label,n_rows,n_groups,var_treatment,r2_y_nuisance,r2_t_nuisance,skip_reason,effect_per_1pp_ah,effect_per_5pp_ah,ci_low,ci_high,p_value,q_value,placebo_mean_1pp_ah,placebo_std_1pp_ah,abs_effect_per_1pp_ah
50,share_50,3,2,5,s3_r2_t5,138622,183,0.0019597518278789113,0.9812117721190937,0.3436750585286913,,0.0001406503153468329,0.0007032515767341646,6.0195880388016465e-05,0.0002294126614251616,0.0,0.0,-4.688893201935003e-07,4.427182222184931e-06,0.0001406503153468329
41,share_41,3,1,1,s3_r1_t1,138622,183,0.009271553150402762,0.9812830595314271,0.6485700940118779,,-7.655746506088019e-05,-0.0003827873253044009,-0.0001349504319793394,-2.330520774298508e-05,0.004,0.02,-8.537466455091589e-08,2.04961803225355e-06,7.655746506088019e-05
44,share_44,3,1,4,s3_r1_t4,138622,183,0.002048764842778796,0.9824445915261506,0.3400423650028558,,0.00010805926277123692,0.0005402963138561845,2.124169497676891e-05,0.00020330997955244777,0.02,0.06666666666666667,-4.9310734030927004e-08,4.150681019470091e-06,0.00010805926277123692
25,share_25,2,1,5,s2_r1_t5,138622,183,1.2626384192231532e-05,0.9824752687649784,0.009665515793198298,,0.00015056425408926756,0.0007528212704463379,-0.0001664761551463315,0.005967002943235172,0.224,0.3942857142857143,3.271986555150317e-06,5.177280984941822e-05,0.00015056425408926756
29,share_29,2,2,4,s2_r2_t4,138622,183,0.001183150726444303,0.9813698056790865,0.2867468111695376,,8.422448518565844e-05,0.0004211224259282922,-6.501625819348572e-05,0.00026129658749879186,0.264,0.3942857142857143,2.735695080311239e-07,5.643365089278672e-06,8.422448518565844e-05
28,share_28,2,2,3,s2_r2_t3,138622,183,0.0016418563627489254,0.9812147067666436,0.22343748289481458,,8.10050119735517e-05,0.00040502505986775853,-7.124645628966533e-05,0.00022085441034453744,0.232,0.3942857142857143,-5.622398309876951e-07,4.97549727579893e-06,8.10050119735517e-05
43,share_43,3,1,3,s3_r1_t3,138622,183,0.005112979312146071,0.9823419530863645,0.3265384244298011,,-2.3340539861060414e-05,-0.00011670269930530208,-7.110398422737548e-05,2.3585675224849102e-05,0.276,0.3942857142857143,-3.3622880801339525e-07,2.877391638137644e-06,2.3340539861060414e-05
27,share_27,2,2,2,s2_r2_t2,138622,183,0.0010671567296159882,0.9819315956545289,0.36259579856982427,,9.010830184665105e-05,0.0004505415092332553,-8.346333483033418e-05,0.00027226292483369124,0.396,0.44,-1.595769287062107e-08,6.066999684723402e-06,9.010830184665105e-05
30,share_30,2,2,5,s2_r2_t5,138622,183,0.0014939780726615694,0.9810013295122315,0.36245793967170004,,8.590133197609276e-05,0.0004295066598804638,-8.554386262584017e-05,0.0002639704336718738,0.364,0.44,-1.5911018069989593e-08,5.2068627823014895e-06,8.590133197609276e-05
49,share_49,3,2,4,s3_r2_t4,138622,183,0.0026777555115047856,0.9814050805036735,0.3476471951957081,,-1.659735607335558e-05,-8.298678036677789e-05,-0.00010186411987006248,6.137545770357173e-05,0.692,0.692,-2.969100958566739e-07,3.5329116575548785e-06,1.659735607335558e-05
