share_feature,cross_bin,spearman_corr,spearman_abs,rf_perm_importance,rf_perm_importance_std,score_corr_norm,score_perm_norm,combined_score,soc_bin,rate_bin,temp_bin,soc_label,rate_label,temp_label,cross_label,rank_combined
share_27,27,0.4194982255708968,0.4194982255708968,2.005772301489913e-05,6.864422676523117e-07,1.0,0.8660357973242215,0.9330178986621107,2,2,2,"[10,90)","[0.434,1.99)","[31,32)",s2_r2_t2,1
share_49,49,-0.3154947449239018,0.3154947449239018,2.3160385606312338e-05,3.2199995891566904e-07,0.7520764706323698,1.0,0.8760382353161849,3,2,4,"[90,100]","[0.434,1.99)","[34,36)",s3_r2_t4,2
share_28,28,0.4092187136671045,0.4092187136671045,1.6159892081883226e-05,2.7724968063654984e-07,0.9754956963410206,0.6977384727773646,0.8366170845591926,2,2,3,"[10,90)","[0.434,1.99)","[32,34)",s2_r2_t3,3
share_50,50,-0.3818577859084763,0.3818577859084763,9.298431709625738e-06,1.9777373638668812e-07,0.9102727082785739,0.401480004162429,0.6558763562205014,3,2,5,"[90,100]","[0.434,1.99)","[36,60]",s3_r2_t5,4
share_41,41,0.2171895558135893,0.2171895558135893,1.52681937771447e-05,3.065857246455536e-07,0.5177365303941756,0.6592374598885509,0.5884869951413632,3,1,1,"[90,100]","[0,0.434)","[20,31)",s3_r1_t1,5
share_30,30,-0.1322989293275952,0.1322989293275952,1.920296434526074e-05,3.0662207127292865e-07,0.31537422869321813,0.8291297334888497,0.5722519810910339,2,2,5,"[10,90)","[0.434,1.99)","[36,60]",s2_r2_t5,6
share_29,29,0.15330343663282925,0.15330343663282925,1.487705205909643e-05,4.172091462465958e-07,0.3654447797108033,0.6423490658567319,0.5038969227837676,2,2,4,"[10,90)","[0.434,1.99)","[34,36)",s2_r2_t4,7
share_25,25,-0.06353256975146097,0.06353256975146097,1.943685890254919e-05,5.243487016231463e-07,0.1514489594443439,0.8392286394943137,0.4953387994693288,2,1,5,"[10,90)","[0,0.434)","[36,60]",s2_r1_t5,8
share_44,44,-0.3388947448812318,0.3388947448812318,3.884832660050541e-06,9.347017894632973e-08,0.8078573977757083,0.1677360958529004,0.48779674681430435,3,1,4,"[90,100]","[0,0.434)","[34,36)",s3_r1_t4,9
share_43,43,-0.24706982489804036,0.24706982489804036,8.892955208293363e-06,2.5987070401359564e-07,0.5889651250891516,0.38397267469802393,0.48646889989358777,3,1,3,"[90,100]","[0,0.434)","[32,34)",s3_r1_t3,10
