policy,variable,variable_display,range_label,n_samples,pearson_r,pearson_p,pearson_ci_low,pearson_ci_high,spearman_rho,spearman_p,kendall_tau,kendall_p,lin_r2,lin_p,is_eligible,range_low
1C_4PER_6C,charge_delta_ah_3p00_3p05,"[3.00,3.05)","[3.00,3.05)",49,0.9908080408280243,1.716750786023528e-42,0.9836749376713152,0.9948325117594133,0.9806122448979591,6.359380578466531e-35,0.8945578231292516,1.211470347308289e-19,0.9817005737694673,1.716750786025485e-42,False,3.0
2C_10PER_6C,charge_delta_ah_3p00_3p05,"[3.00,3.05)","[3.00,3.05)",22,0.9743712794826507,1.9851129132121284e-14,0.9381632703896555,0.9894929102330228,0.979672501411632,1.999246919153847e-15,0.8961038961038961,5.19477580014101e-13,0.9493993902806576,1.9851129132122095e-14,False,3.0
2C_2PER_5C,charge_delta_ah_3p00_3p05,"[3.00,3.05)","[3.00,3.05)",34,-0.6809633320401902,9.321483296180297e-06,-0.8283726645544068,-0.44535277729890393,-0.6527587038864245,2.8630922814312414e-05,-0.33959013909423147,0.004835696912503848,0.4637110595832782,9.321483296180351e-06,False,3.0
2C_7PER_5_5C,charge_delta_ah_3p00_3p05,"[3.00,3.05)","[3.00,3.05)",60,0.9933012915687665,4.597608293503804e-56,0.9887671267894605,0.996008907396351,0.9944984717977218,1.548332758824293e-58,0.9570621468926553,3.287744475645281e-27,0.9866474558321796,4.597608293503771e-56,False,3.0
3_6C-80PER_3_6C,charge_delta_ah_3p00_3p05,"[3.00,3.05)","[3.00,3.05)",558,0.10796211767893764,0.01070979582716568,0.025183374530716774,0.1892704221633113,0.42314676860072636,1.19893014837918e-25,0.29522596088878594,1.84657760941812e-25,0.011655818853720776,0.01070979582716573,True,3.0
3_6C_22PER_5_5C,charge_delta_ah_3p00_3p05,"[3.00,3.05)","[3.00,3.05)",53,0.6763018071922066,2.730213558321938e-08,0.49682830562823355,0.800300527815089,0.6346557006934365,3.3368974593294707e-07,0.5108853410740204,6.657600432518286e-08,0.45738413441144454,2.7302135583219343e-08,False,3.0
3_6C_2PER_4_85C,charge_delta_ah_3p00_3p05,"[3.00,3.05)","[3.00,3.05)",84,0.3590435265084339,0.0007966467423860853,0.15671156075282192,0.5324520411460644,0.5367824238128986,1.4133134248175288e-07,0.4205393000573724,1.4850147867218021e-08,0.1289122539276125,0.0007966467423860881,True,3.0
3_6C_30PER_6C,charge_delta_ah_3p00_3p05,"[3.00,3.05)","[3.00,3.05)",134,0.6885585902011973,3.7867750670990333e-20,0.5875831874145064,0.768417669812403,0.672719111210863,5.493402815984028e-19,0.504881607002581,4.9935753321084805e-18,0.47411293213986044,3.78677506709894e-20,True,3.0
3_6C_80PER_3_6C_SLOWCYCLE,charge_delta_ah_3p00_3p05,"[3.00,3.05)","[3.00,3.05)",15,0.9748253241332805,7.471299751691194e-10,0.9239548508177302,0.9918107931491423,0.42142857142857143,0.11769939585541632,0.2761904761904762,0.16857787367749338,0.9502844125715552,7.471299751691424e-10,False,3.0
3_6C_9PER_5C,charge_delta_ah_3p00_3p05,"[3.00,3.05)","[3.00,3.05)",167,0.6392765549832622,1.441650322716571e-20,0.5398202399394166,0.7211307332117274,0.5495609469529101,1.4584593063843762e-14,0.3951374359714307,3.4566379477853806e-14,0.4086745137512681,1.4416503227165174e-20,True,3.0
