policy,n_rows,mae,rmse,r2,mape,feature_group
3_6C-80PER_3_6C,218,0.020155552457105794,0.028874881721798536,-4.059953401058186,0.018950321125445712,charge_only
3_6C_30PER_6C,71,0.032157331980103114,0.043228326547650346,-0.2872781350020672,0.031223361311605014,charge_only
3_6C_9PER_5C,84,0.023894640691427074,0.03745633845458813,0.035801506716745424,0.023443440387193384,charge_only
3_7C_31PER_5_9C_NEWSTRUCTURE,87,0.04249094464995859,0.057065190343578334,-0.746044939528338,0.04419456555741093,charge_only
4C-80PER_4C,269,0.02696195171192596,0.0345969342513778,-3.5022809941348205,0.025302748174950523,charge_only
4_65C_44PER_5C,137,0.031907624966612876,0.04248662917534244,0.4518925384281348,0.030526115229901358,charge_only
4_65C_69PER_6C,126,0.042902289336878854,0.057507224584593834,0.07521687616816308,0.04136878297618135,charge_only
4_8C-80PER_4_8C,158,0.0439866932095526,0.05827213967547124,-0.16728996448360012,0.042704875792876275,charge_only
4_8C_80PER_4_8C,229,0.03988497891418061,0.05184539805813856,-0.04589059616885338,0.037808964781195664,charge_only
4_8C_80PER_4_8C_NEWSTRUCTURE,532,0.03176526575645261,0.042364660732071104,-0.3693524536619064,0.030739597589424603,charge_only
5C_67PER_4C_NEWSTRUCTURE,250,0.0216981493745221,0.031692895735405326,0.3029460222675753,0.021266897208407586,charge_only
5_2C_50PER_4_25C,120,0.04342978113405441,0.05338447617213912,0.08251480840249004,0.040773910543772704,charge_only
5_2C_58PER_4C,135,0.04380339132305115,0.055130354497898784,-0.6896549071052873,0.040467676658528,charge_only
5_2C_58PER_4C_NEWSTRUCTURE,198,0.04334010015573917,0.05642649091126007,0.13750943587505515,0.042091849604371956,charge_only
5_3C_54PER_4C_NEWSTRUCTURE,323,0.0328208411955604,0.04630249406645236,-0.04341011405035977,0.03318405404980557,charge_only
5_4C-40PER_3_6C,128,0.0365462226760981,0.051726892023494474,0.03393964914736025,0.03658309133312455,charge_only
5_4C-50PER_3C,123,0.03505479364957058,0.04395638688926284,-0.5274377187568029,0.033927524056608246,charge_only
5_4C-50PER_3_6C,123,0.03410835145055269,0.047386391408766694,-0.1485404536815922,0.034042563954984076,charge_only
