range_label,variable,variable_display,n_policies_total,n_policies_eligible,eligible_ratio,overall_spearman,median_spearman,spearman_q25,spearman_q75,spearman_min,spearman_max,spearman_iqr,positive_ratio,negative_ratio,same_sign_ratio_vs_overall,n_policy_pairs_total,n_policy_pairs_eligible,range_low
"[3.00,3.05)",charge_delta_ah_3p00_3p05,"[3.00,3.05)",85,39,0.4588235294117647,0.1478935070865221,0.3420615583511512,0.26422272284607373,0.42914009513612117,0.08977976046941565,0.672719111210863,0.16491737229004744,1.0,0.0,1.0,83,39,3.0
"[3.05,3.10)",charge_delta_ah_3p05_3p10,"[3.05,3.10)",85,43,0.5058823529411764,0.15587738069883456,0.3740415129561314,0.28874008546759145,0.45911599268425846,0.15280532030282779,0.8792826221397648,0.170375907216667,1.0,0.0,1.0,84,43,3.05
"[3.10,3.15)",charge_delta_ah_3p10_3p15,"[3.10,3.15)",85,45,0.5294117647058824,0.16411460352165702,0.4324004078618895,0.3463269733936998,0.583577296586234,0.1464549834343062,0.9670582552227979,0.23725032319253425,1.0,0.0,1.0,84,45,3.1
"[3.15,3.20)",charge_delta_ah_3p15_3p20,"[3.15,3.20)",85,49,0.5764705882352941,0.1742016902031925,0.5208587694922194,0.42792016089467544,0.7488279616867957,0.19991824480988565,0.9962259728082513,0.3209078007921202,1.0,0.0,1.0,84,49,3.15
"[3.20,3.25)",charge_delta_ah_3p20_3p25,"[3.20,3.25)",85,52,0.611764705882353,0.1803342647543557,0.6691133766597328,0.5604603658095878,0.8424360934383199,0.30242769875797404,0.9967705510388436,0.28197572762873213,1.0,0.0,1.0,84,52,3.2
"[3.25,3.30)",charge_delta_ah_3p25_3p30,"[3.25,3.30)",85,57,0.6705882352941176,0.18707059765306078,0.7710472323701023,0.6535245807489704,0.9369467028003612,0.2129767801374235,0.997530559328312,0.28342212205139083,1.0,0.0,1.0,84,57,3.25
"[3.30,3.35)",charge_delta_ah_3p30_3p35,"[3.30,3.35)",85,71,0.8352941176470589,0.207527182557339,0.817581501970935,0.5863573943022931,0.9050096405242845,-0.31033329268092485,0.9774055571881021,0.3186522462219914,0.9859154929577465,0.014084507042253521,0.9859154929577465,85,71,3.3
"[3.35,3.40)",charge_delta_ah_3p35_3p40,"[3.35,3.40)",85,80,0.9411764705882353,-0.09576121850934619,0.4411857656659588,0.19017978054022436,0.6390464136985093,-0.1192982679068145,0.9355994300689131,0.448866633158285,0.95,0.05,0.05,85,80,3.35
"[3.40,3.45)",charge_delta_ah_3p40_3p45,"[3.40,3.45)",85,82,0.9647058823529412,0.07765886933338181,0.5372705125429857,0.44384631423972465,0.6415115481924639,0.09207826821023445,0.8688511637838994,0.19766523395273927,1.0,0.0,1.0,85,82,3.4
"[3.45,3.50)",charge_delta_ah_3p45_3p50,"[3.45,3.50)",85,82,0.9647058823529412,-0.01697335750145706,0.35990679196844755,0.2292909126433997,0.5238318794036159,-0.2894198097295365,0.9738599442331244,0.2945409667602161,0.9512195121951219,0.04878048780487805,0.04878048780487805,85,82,3.45
"[3.50,3.55)",charge_delta_ah_3p50_3p55,"[3.50,3.55)",85,81,0.9529411764705882,0.4751775556782192,0.7959821490590906,0.5354771902251433,0.9099695953381707,-0.6051621673562451,0.9660822966404284,0.3744924051130274,0.9135802469135802,0.08641975308641975,0.9135802469135802,85,81,3.5
"[3.55,3.60]",charge_delta_ah_3p55_3p60,"[3.55,3.60]",85,84,0.9882352941176471,0.3455305323836392,0.5016023571122823,0.111707971292975,0.6482780901556583,-0.8577870552068552,0.9699956749680007,0.5365701188626832,0.7619047619047619,0.23809523809523808,0.7619047619047619,85,84,3.55
