variable,variable_display,variable_type,n_samples,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,pearson_winsor_5_95,lin_r2,lin_p,range_low,abs_spearman
discharge_delta_ah_2p85_2p80,"[2.85,2.80]",discharge_feature,24069,-0.2959119878376576,0.0,-0.22491599952525534,1.1602855675416677e-273,-0.14882244377750561,8.842364361708203e-263,-0.2867313819099957,0.08756390454603395,0.0,2.85,0.22491599952525534
discharge_delta_ah_2p90_2p85,"[2.90,2.85)",discharge_feature,18026,0.1444937611507715,1.0778829409763671e-84,0.08997509792535004,1.007613361112704e-33,0.062457518491505375,2.8200282637942363e-36,0.015296888385469727,0.02087844701149615,1.07788294097665e-84,2.9,0.08997509792535004
discharge_delta_ah_2p95_2p90,"[2.95,2.90)",discharge_feature,10560,0.009249324834044125,0.3419163372254315,-0.05578989020406971,9.644657248146153e-09,-0.025049188294244747,0.00011322047205363575,-0.17649854381659819,8.555000988566795e-05,0.341916337225428,2.95,0.05578989020406971
discharge_delta_ah_3p00_2p95,"[3.00,2.95)",discharge_feature,25770,0.08412620346093487,1.0668809191837485e-41,0.16811477197417996,1.123589245884605e-162,0.11760358726505002,2.2038922743030437e-176,0.01873223341886733,0.007077218108750619,1.0668809191838191e-41,3.0,0.16811477197417996
discharge_delta_ah_3p05_3p00,"[3.05,3.00)",discharge_feature,73743,0.13535868040691382,1.705681313291019e-298,0.3486583719227077,0.0,0.23993978956227957,0.0,0.20135614394109758,0.018321972361501043,1.7056813132903173e-298,3.05,0.3486583719227077
discharge_delta_ah_3p10_3p05,"[3.10,3.05)",discharge_feature,132103,0.5878575242993593,0.0,0.6475190707479116,0.0,0.4733641906698618,0.0,0.6227431053343425,0.34557646887537175,0.0,3.1,0.6475190707479116
discharge_delta_ah_3p15_3p10,"[3.15,3.10)",discharge_feature,133083,0.7683814380260193,0.0,0.7653992151707355,0.0,0.5836113386853128,0.0,0.8116448406164514,0.590410034302935,0.0,3.15,0.7653992151707355
discharge_delta_ah_3p20_3p15,"[3.20,3.15)",discharge_feature,38497,0.537428098137134,0.0,0.4125292561812842,0.0,0.27797322371250355,0.0,0.5673228171449556,0.2888289606672968,0.0,3.2,0.4125292561812842
discharge_delta_ah_3p25_3p20,"[3.25,3.20)",discharge_feature,16232,0.6164142405036956,0.0,0.4741232160656459,0.0,0.32553941966075317,0.0,0.4950803344770791,0.3799665158957479,0.0,3.25,0.4741232160656459
discharge_delta_ah_3p30_3p25,"[3.30,3.25)",discharge_feature,24079,0.40626110382563896,0.0,0.2972486168786643,0.0,0.19811272209440414,0.0,0.475511701833951,0.16504808448162656,0.0,3.3,0.2972486168786643
discharge_delta_ah_3p35_3p30,"[3.35,3.30)",discharge_feature,22276,0.3855158020867656,0.0,0.16427360687208534,1.566636309060408e-134,0.10647072412041904,1.4668495400500877e-125,0.30251267921272534,0.14862243365860245,0.0,3.35,0.16427360687208534
discharge_delta_ah_3p40_3p35,"[3.40,3.35)",discharge_feature,19344,0.35129095211636685,0.0,0.035058440888600544,1.0759849033188382e-06,0.022292432874745183,3.3142817202311743e-06,0.13768118624000697,0.12340533303882359,0.0,3.4,0.035058440888600544
discharge_delta_ah_3p45_3p40,"[3.45,3.40)",discharge_feature,4802,0.03792516673470866,0.008580238311244034,-0.33415437327392455,1.3420199842674693e-125,-0.22630066437237897,2.921260706751323e-122,-0.2932497479661941,0.0014383182718554458,0.008580238311244484,3.45,0.33415437327392455
discharge_delta_ah_3p50_3p45,"[3.50,3.45)",discharge_feature,5,0.9814299714000424,0.003029279044065746,0.19999999999999998,0.7470600781046621,0.19999999999999998,0.8166666666666667,0.9738199757704753,0.9632047887622882,0.0030292790440657395,3.5,0.19999999999999998
discharge_delta_ah_3p55_3p50,"[3.55,3.50)",discharge_feature,5,0.9949774912714433,0.00042696025601985266,0.8999999999999998,0.03738607346849875,0.7999999999999999,0.08333333333333333,0.9923347689536538,0.9899802081368151,0.00042696025601985234,3.55,0.8999999999999998
discharge_delta_ah_3p60_3p55,"[3.60,3.55)",discharge_feature,1,,,,,,,,,,3.6,
