variable,std_coef,variable_display,abs_std_coef
discharge_delta_ah_3p10_3p05,0.44533638171690887,"[3.10,3.05)",0.44533638171690887
discharge_delta_ah_3p15_3p10,0.4360406695751398,"[3.15,3.10)",0.4360406695751398
initial_c_rate,0.12309750661968179,initial_c_rate,0.12309750661968179
discharge_delta_ah_3p30_3p25,0.1101257856644706,"[3.30,3.25)",0.1101257856644706
discharge_delta_ah_3p35_3p30,0.07467506411351445,"[3.35,3.30)",0.07467506411351445
discharge_delta_ah_3p05_3p00,-0.07249995371207844,"[3.05,3.00)",0.07249995371207844
discharge_delta_ah_3p25_3p20,0.06935398805041866,"[3.25,3.20)",0.06935398805041866
discharge_delta_ah_3p55_3p50,0.05931925618835471,"[3.55,3.50)",0.05931925618835471
discharge_delta_ah_3p20_3p15,0.053689825740674116,"[3.20,3.15)",0.053689825740674116
discharge_delta_ah_3p40_3p35,0.03976813448756082,"[3.40,3.35)",0.03976813448756082
discharge_delta_ah_2p85_2p80,-0.032937229944495584,"[2.85,2.80]",0.032937229944495584
discharge_delta_ah_2p95_2p90,-0.025044889019774325,"[2.95,2.90)",0.025044889019774325
post_switch_c_rate,0.020969447699549643,post_switch_c_rate,0.020969447699549643
discharge_delta_ah_3p00_2p95,-0.018285094464916204,"[3.00,2.95)",0.018285094464916204
discharge_delta_ah_2p90_2p85,-0.015531925887580468,"[2.90,2.85)",0.015531925887580468
discharge_delta_ah_3p45_3p40,-0.013255676255288297,"[3.45,3.40)",0.013255676255288297
switch_soc_percent,0.011935530690832329,switch_soc_percent,0.011935530690832329
discharge_delta_ah_3p50_3p45,-0.0021778876429227106,"[3.50,3.45)",0.0021778876429227106
discharge_delta_ah_3p60_3p55,0.0,"[3.60,3.55)",0.0
