variable,variable_display,n_samples,partial_pearson_r_given_policy,partial_pearson_p_given_policy,abs_partial_r
discharge_delta_ah_3p15_3p10,"[3.15,3.10)",131440,0.7770844670944994,0.0,0.7770844670944994
discharge_delta_ah_3p25_3p20,"[3.25,3.20)",16041,0.6043758622530184,0.0,0.6043758622530184
discharge_delta_ah_3p10_3p05,"[3.10,3.05)",130442,0.6029174218138702,0.0,0.6029174218138702
discharge_delta_ah_3p20_3p15,"[3.20,3.15)",37794,0.5589556351742441,0.0,0.5589556351742441
discharge_delta_ah_3p30_3p25,"[3.30,3.25)",23797,0.38728332928459713,0.0,0.38728332928459713
discharge_delta_ah_3p35_3p30,"[3.35,3.30)",22027,0.36085354535599323,0.0,0.36085354535599323
discharge_delta_ah_3p40_3p35,"[3.40,3.35)",19162,0.33086245962969385,0.0,0.33086245962969385
discharge_delta_ah_2p85_2p80,"[2.85,2.80]",23730,-0.29787906613800763,0.0,0.29787906613800763
discharge_delta_ah_2p90_2p85,"[2.90,2.85)",17786,0.1540526681145796,6.845320355763373e-95,0.1540526681145796
discharge_delta_ah_3p05_3p00,"[3.05,3.00)",72899,0.14920388085621775,0.0,0.14920388085621775
discharge_delta_ah_3p00_2p95,"[3.00,2.95)",25512,0.10507257528085581,1.5095740296921025e-63,0.10507257528085581
discharge_delta_ah_3p45_3p40,"[3.45,3.40)",4767,0.04813816398309687,0.0008851963066262847,0.04813816398309687
discharge_delta_ah_2p95_2p90,"[2.95,2.90)",10381,0.03861967555343667,8.290457552694268e-05,0.03861967555343667
discharge_delta_ah_3p60_3p55,"[3.60,3.55)",1,,,
discharge_delta_ah_3p55_3p50,"[3.55,3.50)",3,,,
discharge_delta_ah_3p50_3p45,"[3.50,3.45)",3,,,
