variable,variable_display,variable_type,non_null_samples,coverage_ratio
discharge_delta_ah_3p15_3p10,"[3.15,3.10)",discharge_feature,133083,0.9486143187066974
discharge_delta_ah_3p10_3p05,"[3.10,3.05)",discharge_feature,132103,0.9416288883186497
discharge_delta_ah_3p05_3p00,"[3.05,3.00)",discharge_feature,73743,0.5256393807202121
discharge_delta_ah_3p20_3p15,"[3.20,3.15)",discharge_feature,38497,0.27440623841701595
discharge_delta_ah_3p00_2p95,"[3.00,2.95)",discharge_feature,25770,0.18368830724488924
discharge_delta_ah_3p30_3p25,"[3.30,3.25)",discharge_feature,24079,0.17163487583041084
discharge_delta_ah_2p85_2p80,"[2.85,2.80]",discharge_feature,24069,0.171563595928492
discharge_delta_ah_3p35_3p30,"[3.35,3.30)",discharge_feature,22276,0.1587831095144413
discharge_delta_ah_3p40_3p35,"[3.40,3.35)",discharge_feature,19344,0.13788384227183303
discharge_delta_ah_2p90_2p85,"[2.90,2.85)",discharge_feature,18026,0.12848915119892795
discharge_delta_ah_3p25_3p20,"[3.25,3.20)",discharge_feature,16232,0.11570153679468537
discharge_delta_ah_2p95_2p90,"[2.95,2.90)",discharge_feature,10560,0.07527157642631084
discharge_delta_ah_3p45_3p40,"[3.45,3.40)",discharge_feature,4802,0.03422860890143415
discharge_delta_ah_3p55_3p50,"[3.55,3.50)",discharge_feature,5,3.563995095942748e-05
discharge_delta_ah_3p50_3p45,"[3.50,3.45)",discharge_feature,5,3.563995095942748e-05
discharge_delta_ah_3p60_3p55,"[3.60,3.55)",discharge_feature,1,7.127990191885496e-06
initial_c_rate,initial_c_rate,policy_param,140292,1.0
switch_soc_percent,switch_soc_percent,policy_param,138540,0.9875117611838166
post_switch_c_rate,post_switch_c_rate,policy_param,138540,0.9875117611838166
