variable,variable_display,variable_type,n_samples,pearson_r,pearson_p,spearman_rho,spearman_p,abs_spearman
discharge_delta_ah_3p55_3p50,"[3.55,3.50)",discharge_feature,5,0.9949774912714433,0.00042696025601985266,0.8999999999999998,0.03738607346849875,0.8999999999999998
discharge_delta_ah_3p15_3p10,"[3.15,3.10)",discharge_feature,133083,0.7683814380260193,0.0,0.7653992151707355,0.0,0.7653992151707355
discharge_delta_ah_3p10_3p05,"[3.10,3.05)",discharge_feature,132103,0.5878575242993593,0.0,0.6475190707479116,0.0,0.6475190707479116
discharge_delta_ah_3p25_3p20,"[3.25,3.20)",discharge_feature,16232,0.6164142405036956,0.0,0.4741232160656459,0.0,0.4741232160656459
discharge_delta_ah_3p20_3p15,"[3.20,3.15)",discharge_feature,38497,0.537428098137134,0.0,0.4125292561812842,0.0,0.4125292561812842
discharge_delta_ah_3p05_3p00,"[3.05,3.00)",discharge_feature,73743,0.13535868040691382,1.705681313291019e-298,0.3486583719227077,0.0,0.3486583719227077
discharge_delta_ah_3p45_3p40,"[3.45,3.40)",discharge_feature,4802,0.03792516673470866,0.008580238311244034,-0.33415437327392455,1.3420199842674693e-125,0.33415437327392455
discharge_delta_ah_3p30_3p25,"[3.30,3.25)",discharge_feature,24079,0.40626110382563896,0.0,0.2972486168786643,0.0,0.2972486168786643
discharge_delta_ah_2p85_2p80,"[2.85,2.80]",discharge_feature,24069,-0.2959119878376576,0.0,-0.22491599952525534,1.1602855675416677e-273,0.22491599952525534
discharge_delta_ah_3p50_3p45,"[3.50,3.45)",discharge_feature,5,0.9814299714000424,0.003029279044065746,0.19999999999999998,0.7470600781046621,0.19999999999999998
discharge_delta_ah_3p00_2p95,"[3.00,2.95)",discharge_feature,25770,0.08412620346093487,1.0668809191837485e-41,0.16811477197417996,1.123589245884605e-162,0.16811477197417996
discharge_delta_ah_3p35_3p30,"[3.35,3.30)",discharge_feature,22276,0.3855158020867656,0.0,0.16427360687208534,1.566636309060408e-134,0.16427360687208534
discharge_delta_ah_2p90_2p85,"[2.90,2.85)",discharge_feature,18026,0.1444937611507715,1.0778829409763671e-84,0.08997509792535004,1.007613361112704e-33,0.08997509792535004
discharge_delta_ah_2p95_2p90,"[2.95,2.90)",discharge_feature,10560,0.009249324834044125,0.3419163372254315,-0.05578989020406971,9.644657248146153e-09,0.05578989020406971
discharge_delta_ah_3p40_3p35,"[3.40,3.35)",discharge_feature,19344,0.35129095211636685,0.0,0.035058440888600544,1.0759849033188382e-06,0.035058440888600544
discharge_delta_ah_3p60_3p55,"[3.60,3.55)",discharge_feature,1,,,,,
post_switch_c_rate,post_switch_c_rate,policy_param,138540,-0.11205018077145078,0.0,-0.11772058440512191,0.0,0.11772058440512191
initial_c_rate,initial_c_rate,policy_param,140292,0.095390067047467,7.647155220323555e-281,0.10800650359978752,0.0,0.10800650359978752
switch_soc_percent,switch_soc_percent,policy_param,138540,0.01950640788853971,3.8396086421053353e-13,-0.017784438497203507,3.591919625647893e-11,0.017784438497203507
