cycles,n_points_window,n_points_dqdv,peak_count_current,peak_count_balanced,peak1_abs_height_current,peak1_abs_height_balanced,peak1_voltage_drift_v,roughness_current,roughness_balanced
2,249,186,1,1,7.29833537917289,7.222027310646693,-0.0034999999999998366,0.10525415812062928,0.012528538112172057
3,258,185,1,1,7.304834868428989,7.149488374778294,0.0016569999999997975,0.11169046721840607,0.013914672940889768
4,256,188,1,1,7.283613146673204,7.143365016525359,-0.003643549999999607,0.11836158543969211,0.01310296419090117
5,251,186,1,1,7.257504705422127,7.194679468446131,0.0017356999999997846,0.12355811253729579,0.015832274562464495
6,250,184,1,1,7.527765034264972,7.340704253871278,0.0,0.10268306958433662,0.014017152318897939
7,247,187,1,1,7.45820126209163,7.243516101854426,-0.0009017000000000053,0.09810420670343002,0.01335694253777652
8,255,185,1,1,7.670623080429505,7.431108256052612,-0.0015969500000005965,0.1464978244707959,0.01627988128706175
9,265,188,1,1,7.210423222065691,7.122769531670373,-0.001642700000000108,0.10924861156110616,0.011946714097643368
10,251,186,3,1,13.133595481068092,11.640604457663082,-0.0009641500000006076,0.22845082934145516,0.04358698162998535
11,255,185,1,1,7.271688693715316,7.156335538147367,-0.0018572500000000325,0.11368901252493648,0.013501859728294156
12,253,187,1,1,7.240877338920944,7.08498026119563,-0.0009260499999999006,0.10719405965891883,0.012571586267581605
13,257,184,1,1,7.453033478375879,7.214023347558532,0.0,0.10599820597516253,0.013502315807507794
14,250,186,1,1,7.2630839336705115,7.125689835225371,-0.0035719499999999904,0.12133746696511084,0.013973536221357212
15,248,185,1,1,7.3485005909784595,7.1716082194735975,-0.0015902500000000153,0.11033043264370102,0.014607830501731795
16,259,183,1,1,7.542921524750917,7.305778869477631,0.0,0.12129667107471527,0.013885580358765312
17,251,185,1,1,7.597308253647757,7.238736064376445,0.001023749999999879,0.18366873745676304,0.019142894227257585
18,267,187,1,1,7.097464604203271,6.979148103360673,-0.0017561999999999856,0.11423921344244868,0.014298718357923915
19,255,185,1,1,7.5205930694018965,7.257278202345164,-0.0009498499999995857,0.15076542378164517,0.017506340850168965
20,244,184,1,1,7.393857052343909,7.102489319300367,0.0,0.13505514038303634,0.015644211144807164
21,267,186,1,1,7.298888072852,7.071714768239332,0.0,0.11232102375164006,0.01422999158895112
22,236,184,1,1,7.2049647347061665,6.962212302093149,0.0027408499999994618,0.13919282775822006,0.01577685743313626
23,253,186,1,1,7.15812297235416,7.019652585186488,0.0036483000000000487,0.11802236289821243,0.014148327769198252
24,252,184,1,1,7.267300621913705,7.101978766621814,-0.0025306000000000495,0.10914874402372167,0.015074190357227292
25,250,186,1,1,7.142340864923835,7.021289768060802,-0.0009899500000001282,0.10054088354117122,0.01425784425320367
26,253,185,1,1,7.264486312827024,7.046607616190668,0.0017223500000000946,0.13026403153129698,0.014567876127683408
27,254,183,1,1,7.049849561719002,6.905438217163731,0.0,0.11773352773578945,0.013959574508947772
28,255,185,1,1,7.128967416754662,6.936116246304475,-0.0009017000000000053,0.10408567915715505,0.013294645485925684
29,259,184,1,1,7.2263934268054975,6.9582299179639415,0.0018548999999996596,0.09993145887203947,0.01311330053856412
30,252,185,1,1,7.365508180970751,7.243286131553245,0.0007934499999997513,0.10893957795988657,0.013701268504772263
31,256,184,1,1,7.163139608788336,7.064885371861864,-0.0018262500000001403,0.11296227135066965,0.012481177588357012
32,272,185,1,1,7.165430624741633,6.95792036386306,0.0,0.09879061619493705,0.010876754638202186
33,255,184,1,1,7.172945020888533,6.992290025552534,-0.0008163500000000212,0.10004810378041461,0.014375133063744402
34,254,186,1,1,7.025005692938993,6.911621582689042,0.0009465500000001015,0.1243144982135576,0.013504899687846343
35,247,184,1,1,7.255467607900371,6.994968153560569,-0.0009917999999999871,0.10007129103732089,0.01255449803681554
36,263,182,1,1,7.317535575040268,7.09893371663391,-0.000911249999999697,0.10884050967882418,0.013505076077641938
37,259,185,1,1,7.114058669383297,6.955693634831564,-0.003554799999999858,0.14251451778351548,0.015092092905569938
38,258,183,1,1,7.343175223536704,7.1448523524561,-0.0008492499999999126,0.11887120747149937,0.013360519694651244
39,260,184,1,1,7.306171803529164,7.087224076446516,0.0,0.1565252410474315,0.017309659681881237
40,252,183,1,1,7.3221178792208095,6.951169484874525,0.0,0.11445880293466479,0.014602901385132648
41,255,185,1,1,7.145407904003221,6.97115466455466,0.0,0.11740996455096459,0.013339248749978341
42,255,183,1,1,8.00835962851086,7.653180745390852,0.0,0.13870948349532825,0.016370626324152655
43,237,185,1,1,7.503152482820878,7.19578994483571,0.0,0.10398746663773827,0.013218433703458094
44,252,184,1,1,7.147196171486463,7.038684280047551,-0.0008534999999998405,0.11971738977749798,0.014533301572796866
45,263,186,1,1,7.120398389384129,6.998811552115953,0.005542750000000041,0.11584411372765649,0.015119330972322821
46,242,183,1,1,7.208937184376886,7.004381330569301,-0.0009679499999997176,0.12875713683261086,0.014139947330694257
47,261,183,1,1,7.118750152830181,6.922625887755458,0.0036130500000002286,0.11678173732054395,0.014325580686167435
48,257,184,1,1,6.9603006267911,6.86634128422823,0.0,0.08937381950281297,0.011685325159133762
49,252,183,1,1,7.461107492839426,7.249085580505042,0.0037021500000000707,0.1384968687304919,0.01615457282072905
50,253,185,1,1,7.094767423284795,7.015278113499624,0.001055249999999841,0.11751461469551563,0.014394011429244341
51,250,183,3,1,9.630814154251361,8.796814088957412,0.0,0.1755718117264602,0.030526430620135027
52,248,182,1,1,7.634848955109207,7.216223953942419,0.0,0.1263931396176066,0.015284928969974527
53,252,184,1,1,7.139702464932112,6.997334976346046,0.0017815000000003245,0.1318212187235924,0.014609399763477875
54,250,182,1,1,7.098114791107343,7.028056080787632,0.0009317499999998979,0.10698337202154791,0.012383532958483759
55,240,181,1,1,7.160992981377989,7.049388890411602,0.0,0.11459194117042654,0.014059328502441546
56,252,183,1,1,7.245286852835158,7.1393099136044,0.0,0.10842505134294272,0.013200706391942799
57,251,185,1,1,7.179461038518367,7.057468373281846,0.0,0.1110338122328987,0.015159507188078025
58,257,183,1,1,7.251401335922609,7.043030246594315,-0.0016331499999999721,0.11432690449828531,0.013443602228408274
59,259,185,1,1,7.1649866502306665,6.9332878888155856,-0.0009036000000000044,0.11408578422422996,0.013809492543680439
60,250,183,1,1,7.112746042269899,6.893733748854219,0.0,0.1241186795745556,0.013692811396557597
61,237,181,1,1,7.05801791055767,6.837664374908316,-0.0009326499999997573,0.11097188048813109,0.013874594185794158
62,258,183,1,1,7.132501792735271,6.907845885454556,-0.0008754499999996668,0.11160538807460227,0.014050316717360414
63,254,181,1,1,7.077127261865591,6.953374148765142,0.0011038500000002394,0.10778726574301978,0.01406026556889894
64,258,183,1,1,7.030546395456979,6.935405804158549,0.0,0.1368100560235909,0.015297812835984075
65,250,181,1,1,7.117210245094933,6.9665764256957905,0.0,0.1369361924682911,0.015487284488538462
66,254,183,1,1,7.028289416717961,6.884595025765982,0.0,0.08796947379668063,0.012483894371715737
67,250,182,1,1,7.075519996584115,6.961366447739998,0.0009927499999999867,0.10718512103134029,0.013777976090946333
