policy,cell_code,cycles,voltage_mid_v,current_dqdv_ah_per_v,balanced_dqdv_ah_per_v
4_8C-80PER_4_8C,465027,10,3.4337578000000004,-0.004328323229991503,-0.00752234213863517
4_8C-80PER_4_8C,465027,10,3.42358445,-0.02521737331427083,-0.023905711095447587
4_8C-80PER_4_8C,465027,10,3.4133782,-0.041101181463426124,-0.03812043848585429
4_8C-80PER_4_8C,465027,10,3.4033384,-0.05307125077547909,-0.050472567516932396
4_8C-80PER_4_8C,465027,10,3.3932452,-0.062219084348451435,-0.06126814139575903
4_8C-80PER_4_8C,465027,10,3.38313055,-0.06963618528036492,-0.07081320332941131
4_8C-80PER_4_8C,465027,10,3.3730501999999998,-0.07785654818684018,-0.07941379652496633
4_8C-80PER_4_8C,465027,10,3.3629317,-0.07890660260315331,-0.08737596418950168
4_8C-80PER_4_8C,465027,10,3.3528485,-0.09835511585838319,-0.09408075438368373
4_8C-80PER_4_8C,465027,10,3.34283065,-0.10078958529953388,-0.10119124666786265
4_8C-80PER_4_8C,465027,10,3.3328295,-0.11670496049923441,-0.10934939721799308
4_8C-80PER_4_8C,465027,10,3.3227805999999998,-0.1166507836209722,-0.11783332119947242
4_8C-80PER_4_8C,465027,10,3.31272075,-0.13566245055212386,-0.12631938864842007
4_8C-80PER_4_8C,465027,10,3.30269145,-0.13141966788167503,-0.13500730678814576
4_8C-80PER_4_8C,465027,10,3.29264545,-0.152186824576596,-0.14323712720014492
4_8C-80PER_4_8C,465027,10,3.28258945,-0.17165407820959733,-0.15312680911629614
4_8C-80PER_4_8C,465027,10,3.2725601500000003,-0.19257827098801156,-0.17249359403487663
4_8C-80PER_4_8C,465027,10,3.2625456,-0.213338625913359,-0.19902211146138113
4_8C-80PER_4_8C,465027,10,3.252532,-0.24980178194444502,-0.23952163718394964
4_8C-80PER_4_8C,465027,10,3.24249315,-0.3066623178608443,-0.3082877969594159
4_8C-80PER_4_8C,465027,10,3.23243285,-0.38942947942775313,-0.4109270477148257
4_8C-80PER_4_8C,465027,10,3.2222776499999997,-0.5288380362573966,-0.5545419480139405
4_8C-80PER_4_8C,465027,10,3.2127527999999996,-0.7083100796163042,-0.7395761690230335
4_8C-80PER_4_8C,465027,10,3.20502135,-0.9060133397671106,-0.9765111669225459
4_8C-80PER_4_8C,465027,10,3.19914675,-1.2083978365748358,-1.2666040081254055
4_8C-80PER_4_8C,465027,10,3.1946788,-1.591855010191228,-1.5738829658494509
4_8C-80PER_4_8C,465027,10,3.1911187,-1.9363561932314366,-1.9255665337169179
4_8C-80PER_4_8C,465027,10,3.18812845,-2.3367344347908245,-2.3117144780542356
4_8C-80PER_4_8C,465027,10,3.1857381,-2.7119494108681907,-2.708324748511143
4_8C-80PER_4_8C,465027,10,3.1837467999999998,-3.1558038889945728,-3.114324193674696
4_8C-80PER_4_8C,465027,10,3.18185565,-3.5102937224998927,-3.522052150457896
4_8C-80PER_4_8C,465027,10,3.1801715,-3.7813763559466667,-3.929963422280884
4_8C-80PER_4_8C,465027,10,3.1786646999999997,-4.382410553753336,-4.290965567951202
4_8C-80PER_4_8C,465027,10,3.177279,-4.6920340501896165,-4.638687858939029
4_8C-80PER_4_8C,465027,10,3.1759939,-4.945746438732932,-4.9550781191029944
4_8C-80PER_4_8C,465027,10,3.17476175,-5.294178154036804,-5.215157650414156
4_8C-80PER_4_8C,465027,10,3.17373275,-5.554717495055048,-5.46763828919011
4_8C-80PER_4_8C,465027,10,3.1726041,-5.742590732236434,-5.696322305130661
4_8C-80PER_4_8C,465027,10,3.17137435,-5.6959115066514805,-5.887279373855092
4_8C-80PER_4_8C,465027,10,3.1703715499999996,-6.052837379140492,-6.01059796629075
4_8C-80PER_4_8C,465027,10,3.1693992499999997,-6.105246031742059,-6.139967056189928
