policy,cell_code,combo_key,feature,feature_label,n_cycles,cycle_start,cycle_end,value_start,value_end,delta_abs,delta_pct,spearman_rho,spearman_pvalue,slope_per_cycle,slope_per_100_cycles,linear_r2
1C_4PER_6C,460518,1C_4PER_6C|460518,main_peak_area,peak_area,326,1.0,326.0,1.182,0.652,-0.5299999999999999,-44.83925549915397,-0.9976175112875,0.0,-0.0015887137346246923,-0.15887137346246924,0.9933578490694731
1C_4PER_6C,460518,1C_4PER_6C|460518,main_peak_height_dqdv,peak_height,326,1.0,326.0,3.707,2.011,-1.6959999999999997,-45.75128135958996,-0.9960627858784918,0.0,-0.004963374449606224,-0.49633744496062243,0.9877866511825752
1C_4PER_6C,460518,1C_4PER_6C|460518,main_peak_prominence,peak_prominence,326,1.0,326.0,3.707,2.011,-1.6959999999999997,-45.75128135958996,-0.9960627858784918,0.0,-0.004963374449606224,-0.49633744496062243,0.9877866511825752
1C_4PER_6C,460518,1C_4PER_6C|460518,main_peak_skewness,peak_skewness,326,1.0,326.0,-0.322,-0.18,0.14200000000000002,44.09937888198758,0.9718598602067848,1.6573823033362694e-205,0.0004039268999138419,0.040392689991384186,0.9444837023428053
1C_4PER_6C,460518,1C_4PER_6C|460518,main_peak_temp_avg_c,peak_temp_avg,326,1.0,326.0,30.66,29.73,-0.9299999999999997,-3.0332681017612515,-0.047139915465329654,0.3962510271451758,-0.00028570686363218426,-0.028570686363218425,0.001319828725257488
1C_4PER_6C,460518,1C_4PER_6C|460518,main_peak_temp_max_c,peak_temp_max,326,1.0,326.0,31.31,31.35,0.0400000000000027,0.1277547109549751,-0.01025189499920172,0.8537023179264567,3.6383788440945406e-05,0.0036383788440945406,1.793415912199059e-05
1C_4PER_6C,460518,1C_4PER_6C|460518,main_peak_temp_min_c,peak_temp_min,326,1.0,326.0,29.27,28.85,-0.41999999999999815,-1.4349162965493616,-0.03407422713024791,0.5398491853357079,-0.00033635045092240425,-0.033635045092240426,0.0015257787425109193
1C_4PER_6C,460518,1C_4PER_6C|460518,main_peak_voltage_v,peak_voltage,326,1.0,326.0,3.123,3.044,-0.07900000000000018,-2.52961895613193,-0.9746888686171342,7.322420198401566e-213,-0.0002507911382814216,-0.025079113828142163,0.9402364847098069
1C_4PER_6C,460518,1C_4PER_6C|460518,main_peak_width_v,peak_width,326,1.0,326.0,0.329,0.329,0.0,0.0,-0.3498559917690296,8.081251246518539e-11,-8.224062761125914e-06,-0.0008224062761125915,0.09002228635363674
2C_10PER_6C,460605,2C_10PER_6C|460605,main_peak_area,peak_area,170,1.0,170.0,1.138,0.784,-0.35399999999999987,-31.107205623901574,-0.9938921400833607,9.569509404777475e-163,-0.0019714755039356097,-0.19714755039356097,0.9773512762738112
