policy,cell_code,main_peak_area__cycle_end,main_peak_height_dqdv__cycle_end,main_peak_prominence__cycle_end,main_peak_skewness__cycle_end,main_peak_temp_avg_c__cycle_end,main_peak_temp_max_c__cycle_end,main_peak_temp_min_c__cycle_end,main_peak_voltage_v__cycle_end,main_peak_width_v__cycle_end,main_peak_area__cycle_start,main_peak_height_dqdv__cycle_start,main_peak_prominence__cycle_start,main_peak_skewness__cycle_start,main_peak_temp_avg_c__cycle_start,main_peak_temp_max_c__cycle_start,main_peak_temp_min_c__cycle_start,main_peak_voltage_v__cycle_start,main_peak_width_v__cycle_start,main_peak_area__delta_abs,main_peak_height_dqdv__delta_abs,main_peak_prominence__delta_abs,main_peak_skewness__delta_abs,main_peak_temp_avg_c__delta_abs,main_peak_temp_max_c__delta_abs,main_peak_temp_min_c__delta_abs,main_peak_voltage_v__delta_abs,main_peak_width_v__delta_abs,main_peak_area__delta_pct,main_peak_height_dqdv__delta_pct,main_peak_prominence__delta_pct,main_peak_skewness__delta_pct,main_peak_temp_avg_c__delta_pct,main_peak_temp_max_c__delta_pct,main_peak_temp_min_c__delta_pct,main_peak_voltage_v__delta_pct,main_peak_width_v__delta_pct,main_peak_area__linear_r2,main_peak_height_dqdv__linear_r2,main_peak_prominence__linear_r2,main_peak_skewness__linear_r2,main_peak_temp_avg_c__linear_r2,main_peak_temp_max_c__linear_r2,main_peak_temp_min_c__linear_r2,main_peak_voltage_v__linear_r2,main_peak_width_v__linear_r2,main_peak_area__n_cycles,main_peak_height_dqdv__n_cycles,main_peak_prominence__n_cycles,main_peak_skewness__n_cycles,main_peak_temp_avg_c__n_cycles,main_peak_temp_max_c__n_cycles,main_peak_temp_min_c__n_cycles,main_peak_voltage_v__n_cycles,main_peak_width_v__n_cycles,main_peak_area__slope_per_100_cycles,main_peak_height_dqdv__slope_per_100_cycles,main_peak_prominence__slope_per_100_cycles,main_peak_skewness__slope_per_100_cycles,main_peak_temp_avg_c__slope_per_100_cycles,main_peak_temp_max_c__slope_per_100_cycles,main_peak_temp_min_c__slope_per_100_cycles,main_peak_voltage_v__slope_per_100_cycles,main_peak_width_v__slope_per_100_cycles,main_peak_area__slope_per_cycle,main_peak_height_dqdv__slope_per_cycle,main_peak_prominence__slope_per_cycle,main_peak_skewness__slope_per_cycle,main_peak_temp_avg_c__slope_per_cycle,main_peak_temp_max_c__slope_per_cycle,main_peak_temp_min_c__slope_per_cycle,main_peak_voltage_v__slope_per_cycle,main_peak_width_v__slope_per_cycle,main_peak_area__spearman_pvalue,main_peak_height_dqdv__spearman_pvalue,main_peak_prominence__spearman_pvalue,main_peak_skewness__spearman_pvalue,main_peak_temp_avg_c__spearman_pvalue,main_peak_temp_max_c__spearman_pvalue,main_peak_temp_min_c__spearman_pvalue,main_peak_voltage_v__spearman_pvalue,main_peak_width_v__spearman_pvalue,main_peak_area__spearman_rho,main_peak_height_dqdv__spearman_rho,main_peak_prominence__spearman_rho,main_peak_skewness__spearman_rho,main_peak_temp_avg_c__spearman_rho,main_peak_temp_max_c__spearman_rho,main_peak_temp_min_c__spearman_rho,main_peak_voltage_v__spearman_rho,main_peak_width_v__spearman_rho,main_peak_area__value_end,main_peak_height_dqdv__value_end,main_peak_prominence__value_end,main_peak_skewness__value_end,main_peak_temp_avg_c__value_end,main_peak_temp_max_c__value_end,main_peak_temp_min_c__value_end,main_peak_voltage_v__value_end,main_peak_width_v__value_end,main_peak_area__value_start,main_peak_height_dqdv__value_start,main_peak_prominence__value_start,main_peak_skewness__value_start,main_peak_temp_avg_c__value_start,main_peak_temp_max_c__value_start,main_peak_temp_min_c__value_start,main_peak_voltage_v__value_start,main_peak_width_v__value_start
1C_4PER_6C,460518,326.0,326.0,326.0,326.0,326.0,326.0,326.0,326.0,326.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.5299999999999999,-1.6959999999999997,-1.6959999999999997,0.14200000000000002,-0.9299999999999997,0.0400000000000027,-0.41999999999999815,-0.07900000000000018,0.0,-44.83925549915397,-45.75128135958996,-45.75128135958996,44.09937888198758,-3.0332681017612515,0.1277547109549751,-1.4349162965493616,-2.52961895613193,0.0,0.9933578490694731,0.9877866511825752,0.9877866511825752,0.9444837023428053,0.001319828725257488,1.793415912199059e-05,0.0015257787425109193,0.9402364847098069,0.09002228635363674,326,326,326,326,326,326,326,326,326,-0.15887137346246924,-0.49633744496062243,-0.49633744496062243,0.040392689991384186,-0.028570686363218425,0.0036383788440945406,-0.033635045092240426,-0.025079113828142163,-0.0008224062761125915,-0.0015887137346246923,-0.004963374449606224,-0.004963374449606224,0.0004039268999138419,-0.00028570686363218426,3.6383788440945406e-05,-0.00033635045092240425,-0.0002507911382814216,-8.224062761125914e-06,0.0,0.0,0.0,1.6573823033362694e-205,0.3962510271451758,0.8537023179264567,0.5398491853357079,7.322420198401566e-213,8.081251246518539e-11,-0.9976175112875,-0.9960627858784918,-0.9960627858784918,0.9718598602067848,-0.047139915465329654,-0.01025189499920172,-0.03407422713024791,-0.9746888686171342,-0.3498559917690296,0.652,2.011,2.011,-0.18,29.73,31.35,28.85,3.044,0.329,1.182,3.707,3.707,-0.322,30.66,31.31,29.27,3.123,0.329
2C_10PER_6C,460605,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.35399999999999987,-1.2889999999999997,-1.2889999999999997,0.177,0.7700000000000031,1.6899999999999977,-0.6899999999999977,-0.08800000000000008,0.024999999999999967,-31.107205623901574,-36.987087517934,-36.987087517934,58.223684210526315,2.3920472196334366,4.7888920374043575,-2.288557213930341,-2.843295638126012,7.440476190476181,0.9773512762738112,0.9616942792692775,0.9616942792692775,0.4046363855007491,0.09137399986700612,0.16502810649791544,0.05452994204478556,0.9064858529730615,0.7363794612796051,170,170,170,170,170,170,170,170,170,-0.19714755039356097,-0.727625503019642,-0.727625503019642,0.10217719725697802,0.3735834539359301,0.6464567265710505,0.3482086699519593,-0.045579716782383116,0.01435714242096724,-0.0019714755039356097,-0.00727625503019642,-0.00727625503019642,0.0010217719725697802,0.003735834539359301,0.006464567265710505,0.0034820866995195934,-0.00045579716782383114,0.0001435714242096724,9.569509404777475e-163,2.3862712258263356e-132,2.3862712258263356e-132,8.158080835408698e-88,5.399620782124163e-05,7.31237452583707e-08,0.0018793619281973811,1.820597058819216e-101,1.2840857890926528e-59,-0.9938921400833607,-0.9858921506647372,-0.9858921506647372,0.9513521277449076,0.3045303684722621,0.39858347595584054,0.23677086579462425,-0.9667947865290809,0.891364751290108,0.784,2.196,2.196,-0.127,32.96,36.98,29.46,3.007,0.361,1.138,3.485,3.485,-0.304,32.19,35.29,30.15,3.095,0.336
2C_2PER_5C,460602,464.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.536,-1.6829999999999998,-1.6829999999999998,0.12800000000000003,-0.18999999999999773,0.8599999999999994,-0.35999999999999943,-0.07200000000000006,-0.0030000000000000027,-45.00419815281276,-45.20547945205479,-45.20547945205479,38.323353293413184,-0.5700570057005633,2.4042493709812676,-1.187335092348283,-2.3076923076923097,-0.90909090909091,0.9520435641493862,0.9639232812887103,0.9639232812887103,0.8995948432286767,0.03423193513176015,0.024711278379953017,0.013097593738199409,0.9287564295391005,0.15832974859094406,464,464,464,464,464,464,464,464,464,-0.10702353466895088,-0.3510610721776298,-0.3510610721776298,0.024765145818367935,-0.06221473583560231,0.06494677311242837,-0.044777975047871864,-0.01651819155913589,0.0010478285207705656,-0.0010702353466895088,-0.0035106107217762975,-0.0035106107217762975,0.00024765145818367936,-0.0006221473583560231,0.0006494677311242838,-0.00044777975047871865,-0.0001651819155913589,1.0478285207705655e-05,0.0,0.0,0.0,1.5108836332198408e-235,2.576031196504576e-05,0.0009910233535647356,0.021381594461379442,1.1663694336311766e-287,1.8203551422586478e-14,-0.9979212378362432,-0.9943219124938166,-0.9943219124938166,0.9499346999220607,-0.19401702182083527,0.1523938101253388,-0.10681181947164807,-0.970527309588606,0.3456424979496213,0.655,2.04,2.04,-0.206,33.14,36.63,29.96,3.048,0.327,1.191,3.723,3.723,-0.334,33.33,35.77,30.32,3.12,0.33
2C_7PER_5_5C,460673,361.0,361.0,361.0,361.0,361.0,361.0,361.0,361.0,361.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.5139999999999999,-1.6139999999999999,-1.6139999999999999,0.158,-0.3299999999999983,-0.3399999999999963,-0.40000000000000213,-0.07600000000000007,-0.0020000000000000018,-44.234079173838204,-44.8208830880311,-44.8208830880311,49.8422712933754,-0.9936766034326958,-0.9274413529732579,-1.3101867016049855,-2.4390243902439046,-0.6024096385542174,0.9837656767884831,0.9679104101635967,0.9679104101635967,0.9654408938162513,0.02290597139166295,0.013916557471485236,0.03658367185660183,0.9239776359506544,0.003962764438761868,361,361,361,361,361,361,361,361,361,-0.1409281053753896,-0.4446119588007533,-0.4446119588007533,0.043155216479698874,0.042174642771510173,0.04891364788826085,0.072770542232284,-0.021321299031236376,-0.00017362758451815616,-0.0014092810537538962,-0.004446119588007533,-0.004446119588007533,0.00043155216479698875,0.00042174642771510175,0.0004891364788826085,0.00072770542232284,-0.00021321299031236375,-1.7362758451815617e-06,0.0,5.31060596445334e-310,5.31060596445334e-310,2.1208898873566452e-280,0.01373333148543674,0.04847028368622875,0.0002185659141753112,1.6753680119748757e-251,0.0001307323791626249,-0.9927016171457991,-0.9903230484193011,-0.9903230484193011,0.9858218009787464,0.12959492537069117,0.10393282642304555,0.19338527545166076,-0.9793935669889985,-0.19997609003721764,0.648,1.987,1.987,-0.159,32.88,36.32,30.13,3.04,0.33,1.162,3.601,3.601,-0.317,33.21,36.66,30.53,3.116,0.332
3_6C-80PER_3_6C,460486,1178.0,1178.0,1178.0,1178.0,1178.0,1178.0,1178.0,1178.0,1178.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-0.07299999999999995,-0.20699999999999985,-0.20699999999999985,0.006000000000000005,-0.14999999999999858,-0.20000000000000284,0.17999999999999972,0.005999999999999783,-0.0020000000000000018,-6.218057921635431,-5.694635488308112,-5.694635488308112,1.8808777429467098,-0.47007207771857906,-0.5932957579353392,0.6030150753768835,0.19286403085823797,-0.6006006006006012,0.8717969595582308,0.6855806750719498,0.6855806750719498,0.00259081334336575,0.03409238731356701,0.042939160336446625,0.03108531685813487,0.1318591975201625,0.00010146637517616242,1177,1177,1177,1177,1177,1177,1177,1177,1177,-0.007820804855617525,-0.02453029192717205,-0.02453029192717205,0.00018651125894288595,-0.049164966042818906,-0.05339126272980698,-0.04938273558403246,-0.0007848807266140361,1.1385247727523923e-05,-7.820804855617526e-05,-0.0002453029192717205,-0.0002453029192717205,1.8651125894288595e-06,-0.0004916496604281891,-0.0005339126272980698,-0.0004938273558403246,-7.848807266140362e-06,1.1385247727523923e-07,0.0,0.0,0.0,6.045121262604631e-07,0.004786627057979507,8.913773192084005e-08,0.026700924396556865,1.9971038140841867e-37,0.3409100467740528,-0.9402568073721149,-0.8701950072820072,-0.8701950072820072,0.14482925350426964,-0.08217683574104222,-0.15509308870403676,-0.06458958524627996,-0.3604355848115812,-0.027783996767876226,1.101,3.428,3.428,-0.313,31.76,33.51,30.03,3.117,0.331,1.174,3.635,3.635,-0.319,31.91,33.71,29.85,3.111,0.333
3_6C-80PER_3_6C,460514,1189.0,1189.0,1189.0,1189.0,1189.0,1189.0,1189.0,1189.0,1189.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-0.09299999999999997,-0.3080000000000003,-0.3080000000000003,0.015000000000000013,0.13000000000000256,-0.17999999999999972,0.120000000000001,-0.002000000000000224,0.0020000000000000018,-7.935153583617746,-8.498896247240625,-8.498896247240625,4.615384615384619,0.4061230865354657,-0.5188815220524639,0.4055424129773606,-0.06418485237484672,0.6006006006006012,0.8434751094844579,0.746140997772893,0.746140997772893,0.008787081230234084,0.03779865709847208,0.03982343413884948,0.04583416371648108,0.21153576782420624,0.04437038170740548,1188,1188,1188,1188,1188,1188,1188,1188,1188,-0.008717260757657655,-0.029340331310050902,-0.029340331310050902,0.00026327527551535986,-0.05483264643475712,-0.05331476058010839,-0.06441129785136213,-0.001123714408649248,0.000204730493930213,-8.717260757657655e-05,-0.00029340331310050903,-0.00029340331310050903,2.6327527551535987e-06,-0.0005483264643475712,-0.0005331476058010839,-0.0006441129785136212,-1.1237144086492479e-05,2.04730493930213e-06,0.0,0.0,0.0,3.6317158363453706e-10,0.27087572020374207,0.1666577507194227,0.003799288591112375,4.443359273503023e-70,5.002429047494481e-11,-0.9272870756944307,-0.8775824074103247,-0.8775824074103247,0.18057755639613257,-0.031970134927532465,-0.040151659617942134,-0.08391417659124274,-0.48182535526391596,0.18911635809428434,1.079,3.316,3.316,-0.31,32.14,34.51,29.71,3.114,0.335,1.172,3.624,3.624,-0.325,32.01,34.69,29.59,3.116,0.333
3_6C-80PER_3_6C,460623,1176.0,1176.0,1176.0,1176.0,1176.0,1176.0,1176.0,1176.0,1176.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-0.07000000000000006,-0.1469999999999998,-0.1469999999999998,0.020000000000000018,-0.07000000000000028,0.36999999999999744,0.020000000000003126,0.006999999999999673,-0.007000000000000006,-5.907172995780596,-4.004358485426309,-4.004358485426309,6.191950464396291,-0.2177293934681191,1.0885554574874887,0.06668889629877668,0.2243589743589639,-2.108433734939761,0.863999179002996,0.6819164622800622,0.6819164622800622,3.3306525387688524e-06,0.016930457076317684,0.015004027450004731,0.026604293651068422,0.13775370053278813,0.0022118969491813356,1175,1175,1175,1175,1175,1175,1175,1175,1175,-0.007405250983644157,-0.023505992849856727,-0.023505992849856727,-4.708324302567985e-06,-0.03405096381950557,-0.030714008318903783,-0.04471614315377412,-0.0008282338198972836,4.433591915140869e-05,-7.405250983644157e-05,-0.00023505992849856726,-0.00023505992849856726,-4.7083243025679855e-08,-0.00034050963819505574,-0.0003071400831890378,-0.0004471614315377412,-8.282338198972836e-06,4.4335919151408695e-07,0.0,7e-323,7e-323,0.01860845361849599,0.619246114435412,0.31816751531883825,0.01875702133278043,1.2015875861870413e-42,0.771054596172348,-0.9346128812289354,-0.8461432461784621,-0.8461432461784621,0.06864439913969254,0.014511301388583503,0.029146216928797125,-0.06855831402630097,-0.38428785616640443,0.008498109206553188,1.115,3.524,3.524,-0.303,32.08,34.36,30.01,3.127,0.325,1.185,3.671,3.671,-0.323,32.15,33.99,29.99,3.12,0.332
3_6C_22PER_5_5C,460655,471.0,471.0,471.0,471.0,471.0,471.0,471.0,471.0,471.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.522,-1.67,-1.67,0.11200000000000002,0.00999999999999801,0.4399999999999977,0.17999999999999972,-0.07399999999999984,0.0,-43.976411120471774,-44.72415640064274,-44.72415640064274,34.674922600619205,0.03043213633596473,1.2457531143827794,0.595434998346013,-2.3672424824056253,0.0,0.9816427357963474,0.9867033774098105,0.9867033774098105,0.9661028709158594,0.0002533185407160854,0.10385949007132778,0.019652676454389728,0.9591912061289667,0.006380743090172558,470,470,470,470,470,470,470,470,470,-0.10339498066909798,-0.3292764777686688,-0.3292764777686688,0.023749358284977727,0.0021092471725912393,0.06520475379617328,-0.024918165274916252,-0.015148374792372406,0.00013810633914574099,-0.0010339498066909798,-0.003292764777686688,-0.003292764777686688,0.00023749358284977726,2.109247172591239e-05,0.0006520475379617329,-0.0002491816527491625,-0.00015148374792372407,1.38106339145741e-06,0.0,0.0,0.0,0.0,0.954322752890083,3.547642979235654e-13,0.01714073416891943,0.0,0.8998614469209941,-0.9995357325283141,-0.9983947673704587,-0.9983947673704587,0.9847510704142921,-0.002649144176136402,0.3270266256006016,-0.10991010527839251,-0.9829442998107196,0.005819847324432393,0.665,2.064,2.064,-0.211,32.87,35.76,30.41,3.052,0.328,1.187,3.734,3.734,-0.323,32.86,35.32,30.23,3.126,0.328
3_6C_2PER_4_85C,460635,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.5089999999999999,-1.6549999999999998,-1.6549999999999998,0.1,0.22000000000000242,0.480000000000004,0.379999999999999,-0.07399999999999984,0.0030000000000000027,-43.20882852292019,-44.369973190348524,-44.369973190348524,31.74603174603175,0.6877149109096669,1.394943330427213,1.2837837837837804,-2.3672424824056253,0.9230769230769239,0.9453182571981065,0.9554380219325457,0.9554380219325457,0.9280172928788664,0.04317965787069755,0.2894658126299323,0.018225133045621567,0.9081810474582556,0.046843610728297236,507,507,507,507,507,507,507,507,507,-0.08766401744043766,-0.2808667420852402,-0.2808667420852402,0.01820090609098598,0.02676018054049353,0.1016980412471943,0.023920382148595244,-0.012711691174020746,0.0003526521144301919,-0.0008766401744043765,-0.0028086674208524023,-0.0028086674208524023,0.0001820090609098598,0.0002676018054049353,0.001016980412471943,0.00023920382148595246,-0.00012711691174020746,3.526521144301919e-06,0.0,0.0,0.0,1.44146024e-316,2.2765521167052323e-06,1.63624482675837e-41,0.0015559261225883793,2.557224340975087e-302,0.005281620056057453,-0.999295661126239,-0.9969430039304809,-0.9969430039304809,0.9711519956027325,0.2081515374124198,0.5505108947992108,0.14017181374193463,-0.9670816654527387,0.12370795640036,0.669,2.075,2.075,-0.215,32.21,34.89,29.98,3.052,0.328,1.178,3.73,3.73,-0.315,31.99,34.41,29.6,3.126,0.325
3_6C_30PER_6C,460634,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.45499999999999996,-1.5419999999999998,-1.5419999999999998,0.10199999999999998,-0.879999999999999,-3.099999999999998,0.5499999999999972,-0.08199999999999985,0.01100000000000001,-38.822525597269625,-41.51857835218094,-41.51857835218094,34.0,-2.7594857322044497,-8.936292879792441,1.8524755810036955,-2.6239999999999952,3.3846153846153872,0.9871523394254857,0.9769535709410645,0.9769535709410645,0.9696214838258127,0.08482478062259602,0.051811922549590106,0.1339190129467417,0.8884257882882997,0.28498733447340696,545,545,545,545,545,545,545,545,545,-0.07489807143746713,-0.24442056392069864,-0.24442056392069864,0.018196390765198047,0.3361208880164643,0.38008716189369307,0.2551992462475461,-0.011459765275199499,0.001008788836635538,-0.0007489807143746713,-0.0024442056392069865,-0.0024442056392069865,0.00018196390765198048,0.003361208880164643,0.0038008716189369307,0.0025519924624754606,-0.000114597652751995,1.0087888366355381e-05,0.0,0.0,0.0,0.0,2.2638248590789437e-11,3.1582356791821585e-08,1.296392737774452e-21,0.0,1.673192593688026e-166,-0.9987314783415768,-0.9965072355986194,-0.9965072355986194,0.9901934885506226,0.28131886420679036,0.23421687474269795,0.39337388276682494,-0.9788608642597721,0.867138187053777,0.717,2.172,2.172,-0.198,31.01,31.59,30.24,3.043,0.336,1.172,3.714,3.714,-0.3,31.89,34.69,29.69,3.125,0.325
