sample_id,policy,cell_code,cycles,degree,r2_q,rmse_q,rmse_dqdv_high,rmse_dqdv_all,high_sens_threshold_abs_dqdv,high_sens_points,sensitive_voltage_low,sensitive_voltage_high,rank_warning,n_points_window,n_points_dqdv_ref,one_minus_r2,norm_rmse_high,norm_one_minus_r2,norm_rmse_q,score,is_best_degree
4_8C-80PER_4_8C|465027|10,4_8C-80PER_4_8C,465027,10,7,0.9953491705787885,0.021652992065033166,1.695304266062362,1.6819324153109412,,182,2.5,3.4,0,251,186,0.004650829421211533,1.0,1.0,1.0,1.0,0
4_8C-80PER_4_8C|465027|10,4_8C-80PER_4_8C,465027,10,8,0.9966879433007275,0.018272652394805838,1.5544173627374223,1.6384794732344476,,182,2.5,3.4,0,251,186,0.003312056699272481,0.020280469428282707,0.38982040339794755,0.4285655095754212,0.1739082089427697,0
4_8C-80PER_4_8C|465027|10,4_8C-80PER_4_8C,465027,10,9,0.9975432339814233,0.015737458916665243,1.551500964271772,1.541136469793203,,182,2.5,3.4,0,251,186,0.002456766018576695,0.0,0.0,0.0,0.0,1
5C_67PER_4C_NEWSTRUCTURE|737329|626,5C_67PER_4C_NEWSTRUCTURE,737329,626,7,0.996466113636513,0.016941260699812537,0.7703833635822346,0.8063181251901292,,161,2.5,3.4,0,167,166,0.003533886363486949,1.0,1.0,1.0,1.0,0
5C_67PER_4C_NEWSTRUCTURE|737329|626,5C_67PER_4C_NEWSTRUCTURE,737329,626,8,0.9966079909708149,0.01659770094965615,0.7137003040139916,0.8063722156794851,,161,2.5,3.4,0,167,166,0.003392009029185128,0.5414988644043957,0.9251600524368415,0.9364584498600232,0.6966580992308513,0
5C_67PER_4C_NEWSTRUCTURE|737329|626,5C_67PER_4C_NEWSTRUCTURE,737329,626,9,0.9983618570051477,0.011534408814714441,0.6467564951457797,0.6463407591243112,,161,2.5,3.4,0,167,166,0.0016381429948523207,0.0,0.0,0.0,0.0,1
6C-50PER_3C|460507|685,6C-50PER_3C,460507,685,7,0.996846008176811,0.014912912618013863,0.6491101611403576,0.7263525689377549,,151,2.5,3.4,0,208,156,0.003153991823188984,0.8817409455878233,1.0,1.0,0.929044567352694,0
6C-50PER_3C|460507|685,6C-50PER_3C,460507,685,8,0.9968674361938069,0.014862167598346774,0.6658650280376183,0.7190025439136325,,151,2.5,3.4,0,208,156,0.0031325638061930894,1.0,0.9881691083169641,0.9902081119729974,0.9955734938751906,0
6C-50PER_3C|460507|685,6C-50PER_3C,460507,685,9,0.9986572002297837,0.009730559681874118,0.5241856701183188,0.5617457297306433,,151,2.5,3.4,0,208,156,0.0013427997702163408,0.0,0.0,0.0,0.0,1
4_8C_80PER_4_8C_NEWSTRUCTURE|737345|638,4_8C_80PER_4_8C_NEWSTRUCTURE,737345,638,7,0.996168583670687,0.01855015265988028,0.8362863367651564,0.8801825125581297,,169,2.5,3.4,0,176,175,0.003831416329313053,1.0,1.0,1.0,1.0,0
4_8C_80PER_4_8C_NEWSTRUCTURE|737345|638,4_8C_80PER_4_8C_NEWSTRUCTURE,737345,638,8,0.9962772512934983,0.018285198352577976,0.7805156948677501,0.8773994611234719,,169,2.5,3.4,0,176,175,0.0037227487065016884,0.5669738130651765,0.9464015257017582,0.9544867175599959,0.7199576768985447,0
4_8C_80PER_4_8C_NEWSTRUCTURE|737345|638,4_8C_80PER_4_8C_NEWSTRUCTURE,737345,638,9,0.9981960224034893,0.012728680485211986,0.7074935672281016,0.706362219216652,,169,2.5,3.4,0,176,175,0.0018039775965107419,0.0,0.0,0.0,0.0,1
5_6C_19PER_4_6C_NEWSTRUCTURE|737287|238,5_6C_19PER_4_6C_NEWSTRUCTURE,737287,238,7,0.9955901311253189,0.020318613565577206,0.9668125590398747,0.9607947549703109,,174,2.5,3.4,0,178,177,0.004409868874681089,1.0,1.0,1.0,1.0,0
5_6C_19PER_4_6C_NEWSTRUCTURE|737287|238,5_6C_19PER_4_6C_NEWSTRUCTURE,737287,238,8,0.9972151098105608,0.016146755542865765,0.7565539562655921,0.8740382173599439,,174,2.5,3.4,0,178,177,0.002784890189439171,0.0,0.26391945169695985,0.3000124748953684,0.11098173415854523,0
5_6C_19PER_4_6C_NEWSTRUCTURE|737287|238,5_6C_19PER_4_6C_NEWSTRUCTURE,737287,238,9,0.9977977409976191,0.014358710177173467,0.7824612200776773,0.7921169175705618,,174,2.5,3.4,0,178,177,0.002202259002380913,0.12321618935086914,0.0,0.0,0.07392971361052149,1
