rank,feature
1,discharge_inc_delta_ah_3p15_to_3p10
2,discharge_cum_delta_ah_2p85_to_2p80
3,discharge_cum_delta_ah_3p00_to_2p95
4,discharge_cum_delta_ah_3p25_to_3p20
5,discharge_cum_delta_ah_2p95_to_2p90
6,discharge_cum_delta_ah_3p40_to_3p35
7,discharge_cum_delta_ah_3p45_to_3p40
8,discharge_cum_delta_ah_3p30_to_3p25
9,discharge_cum_delta_ah_2p90_to_2p85
10,charge_cross_bin_cum_41_h
11,charge_cross_bin_cum_38_h
12,discharge_cum_delta_ah_3p20_to_3p15
13,charge_cross_bin_cum_39_h
14,charge_cross_bin_cum_47_h
15,charge_cross_bin_cum_42_h
16,discharge_cycle_total_delta_ah
17,charge_cross_bin_cum_37_h
18,discharge_inc_delta_ah_3p10_to_3p05
19,discharge_cum_active_range_count
20,charge_cross_bin_cum_17_h
21,charge_cross_bin_cum_35_h
22,charge_cross_bin_cum_36_h
23,charge_cross_bin_cum_07_h
24,charge_cross_bin_cum_16_h
25,charge_cross_bin_cum_49_h
26,charge_cross_bin_cum_44_h
27,charge_cross_bin_cum_06_h
28,charge_cross_bin_cum_27_h
29,charge_cross_bin_cum_40_h
30,charge_cross_bin_cum_34_h
31,charge_cross_bin_cum_12_h
32,charge_cross_bin_cum_43_h
33,charge_cross_bin_cum_30_h
34,charge_cross_bin_cum_50_h
35,charge_cross_bin_cum_28_h
36,charge_cross_bin_cum_22_h
37,charge_cross_bin_cum_08_h
38,charge_cross_bin_cum_46_h
39,charge_cross_bin_cum_48_h
40,charge_cross_bin_cum_03_h
41,discharge_cum_delta_ah_3p05_to_3p00
42,charge_cross_bin_cum_55_h
43,charge_cross_bin_cum_26_h
44,discharge_cycle_total_duration_s
45,charge_cross_bin_cum_31_h
46,charge_cross_bin_cum_21_h
47,charge_cross_bin_cum_23_h
48,charge_cross_bin_cum_15_h
49,charge_cross_bin_cum_54_h
50,charge_cross_bin_cum_32_h
51,discharge_cycle_avg_temp_mean
52,charge_cross_bin_cum_25_h
53,discharge_inc_delta_ah_3p20_to_3p15
54,charge_cross_bin_inc_25_h
55,charge_cross_bin_cum_18_h
