trial_id,window_size,hidden_size,learning_rate,best_epoch,best_valid_loss,valid_mse,valid_rmse,valid_mae,valid_r2,train_windows,valid_windows,checkpoint_path
1,20,64,0.001,15,0.000697099596968962,0.0006970996037125587,0.026402643877319536,0.01909821107983589,0.7452337741851807,95614,40551,C:\Users\pal\projects\batt_soh\outputs\analysis\lstm_charge_delta_ah_grid_tuning_cpu\checkpoints\trial_001.pt
5,30,64,0.001,11,0.0008219533094899028,0.000821953231934458,0.02866972675025798,0.021057594567537308,0.7005280256271362,94264,40031,C:\Users\pal\projects\batt_soh\outputs\analysis\lstm_charge_delta_ah_grid_tuning_cpu\checkpoints\trial_005.pt
9,60,64,0.001,11,0.0008509347100377413,0.0008509347098879516,0.0291707852120568,0.02142012119293213,0.6925540566444397,90214,38471,C:\Users\pal\projects\batt_soh\outputs\analysis\lstm_charge_delta_ah_grid_tuning_cpu\checkpoints\trial_009.pt
3,20,128,0.001,8,0.0008668979737220577,0.0008668979862704873,0.029443131393764612,0.021588582545518875,0.683178186416626,95614,40551,C:\Users\pal\projects\batt_soh\outputs\analysis\lstm_charge_delta_ah_grid_tuning_cpu\checkpoints\trial_003.pt
11,60,128,0.001,7,0.0008838876597775025,0.0008838876965455711,0.029730248847689975,0.021942267194390297,0.6806479692459106,90214,38471,C:\Users\pal\projects\batt_soh\outputs\analysis\lstm_charge_delta_ah_grid_tuning_cpu\checkpoints\trial_011.pt
12,60,128,0.0005,6,0.0009616393911515029,0.0009616394527256489,0.031010312038508236,0.023667294532060623,0.6525560021400452,90214,38471,C:\Users\pal\projects\batt_soh\outputs\analysis\lstm_charge_delta_ah_grid_tuning_cpu\checkpoints\trial_012.pt
8,30,128,0.0005,5,0.0009559359955660837,0.0009559360332787037,0.030918215234367972,0.02249673381447792,0.6517125368118286,94264,40031,C:\Users\pal\projects\batt_soh\outputs\analysis\lstm_charge_delta_ah_grid_tuning_cpu\checkpoints\trial_008.pt
6,30,64,0.0005,7,0.0009682626724366934,0.0009682626114226878,0.031116918411415482,0.023352928459644318,0.6472214460372925,94264,40031,C:\Users\pal\projects\batt_soh\outputs\analysis\lstm_charge_delta_ah_grid_tuning_cpu\checkpoints\trial_006.pt
7,30,128,0.001,3,0.0010037877946146192,0.0010037878528237343,0.03168261120589233,0.02354969084262848,0.6342780590057373,94264,40031,C:\Users\pal\projects\batt_soh\outputs\analysis\lstm_charge_delta_ah_grid_tuning_cpu\checkpoints\trial_007.pt
4,20,128,0.0005,4,0.0010387852154733696,0.0010387852089479566,0.032230190954258345,0.023654554039239883,0.6203592419624329,95614,40551,C:\Users\pal\projects\batt_soh\outputs\analysis\lstm_charge_delta_ah_grid_tuning_cpu\checkpoints\trial_004.pt
10,60,64,0.0005,4,0.0011417082991450154,0.0011417083442211151,0.033789174956206244,0.02653707191348076,0.5874963998794556,90214,38471,C:\Users\pal\projects\batt_soh\outputs\analysis\lstm_charge_delta_ah_grid_tuning_cpu\checkpoints\trial_010.pt
2,20,64,0.0005,4,0.0012614228847318534,0.001261422992683947,0.03551651718122073,0.027525372803211212,0.538992702960968,95614,40551,C:\Users\pal\projects\batt_soh\outputs\analysis\lstm_charge_delta_ah_grid_tuning_cpu\checkpoints\trial_002.pt
