method,raw_method,input,monotonic_constraint,H50_RMSE,H50_MAE,H50_R2,all_RMSE,monotonic_violation_rate
direct LightGBM,direct_retention,55维工况 summary,否,0.0124295311737718,0.0082571383016517,0.9327618546678592,0.0120264475380198,0.4573542564436133
direct LightGBM + cummin,direct_retention_cummin,55维工况 summary,是,0.012674331510669328,0.008693739475007076,0.930087254967725,0.012356156659569698,0.0
direct LightGBM + isotonic,direct_retention_isotonic,55维工况 summary,是,0.01230487120489394,0.008205245215579339,0.9341037995100866,0.011874019351260047,0.0
linear_last10,linear_last10,历史 retention,否,0.0085644763869741,0.0040651747429988,0.9680766938896757,0.0047480224833201,0.11155378486055777
linear_last10 + cummin,linear_last10_cummin,历史 retention,是,0.008147412158961196,0.0037089099447090747,0.9711101289493783,0.004467123494636738,0.0
dQdV bridge,deployable_bridge,55维工况 -> compact4 -> retention,否,0.0189008092240174,0.0134015356401998,0.8445226868504151,0.0170161662894107,0.49329213757216034
dQdV bridge + cummin,deployable_bridge_cummin,55维工况 -> compact4 -> retention,是,0.018288189125243833,0.01340262775877082,0.8544381259605419,0.01706321090918016,0.0
monotonic LSTM penalty,monotonic_lstm_penalty,100x55,软约束,0.019522459651838336,0.012709352124734704,0.834127153489517,0.016456878367450654,0.3371005772827059
monotonic LSTM delta strict,monotonic_lstm_delta_strict,100x55 + last_history_retention作为递推起点,硬约束,0.009092580148982055,0.005256768479290236,0.9640183971556526,0.00508650595383708,0.0
monotonic LSTM delta with history retention,monotonic_lstm_delta_with_history_retention,100x56,硬约束,0.007888384313293995,0.004644916114579159,0.9729178991316253,0.004574399745379237,0.0
