monotonic_violation_count,monotonic_violation_rate,max_positive_jump,mean_positive_jump,total_positive_jump,curve_has_violation,series,method,block_id,policy,cell_code,input_start_cycle,input_end_cycle
14,0.2857142857142857,0.00018703937530517578,3.435782023835416e-05,0.00048100948333695825,1,true_retention,true_retention,580,3_6C-80PER_3_6C,460486,2,101
16,0.32653061224489793,0.00016903877258322986,6.232038140296242e-05,0.0009971261024473987,1,true_retention,true_retention,581,3_6C-80PER_3_6C,460486,152,251
17,0.3469387755102041,0.00024241209030140265,8.115347693946878e-05,0.0013796091079709694,1,true_retention,true_retention,582,3_6C-80PER_3_6C,460486,302,401
20,0.40816326530612246,0.0005401372909545898,0.00011898577213289573,0.002379715442657915,1,true_retention,true_retention,583,3_6C-80PER_3_6C,460486,452,551
21,0.42857142857142855,0.0007799267768859863,0.00022637844085692302,0.004753947257995383,1,true_retention,true_retention,584,3_6C-80PER_3_6C,460486,602,701
24,0.4897959183673469,0.0011535286903380237,0.0003103713194529123,0.007448911666869895,1,true_retention,true_retention,585,3_6C-80PER_3_6C,460486,752,851
24,0.4897959183673469,0.0007448792457580566,0.00026417771975198456,0.0063402652740476295,1,true_retention,true_retention,586,3_6C-80PER_3_6C,460486,902,1001
26,0.5306122448979592,0.0023400187492369495,0.0008444006626422503,0.02195441722869851,1,true_retention,true_retention,587,3_6C_30PER_6C,734853,1,100
18,0.3673469387755102,0.0013702511787416771,0.00045240256521434437,0.008143246173858198,1,true_retention,true_retention,588,3_6C_30PER_6C,734853,151,250
5,0.10204081632653061,0.0009790658950805664,0.0005745053291320801,0.0028725266456604004,1,true_retention,true_retention,589,3_6C_30PER_6C,734853,301,400
23,0.46938775510204084,0.002294778823852761,0.0010012440059496395,0.02302861213684171,1,true_retention,true_retention,590,3_6C_9PER_5C,720452,1,100
19,0.3877551020408163,0.0021492838859558105,0.0008030941611841696,0.015258789062499223,1,true_retention,true_retention,591,3_6C_9PER_5C,720452,151,250
2,0.04081632653061224,2.0384788513183594e-05,1.9878149032592773e-05,3.975629806518555e-05,1,true_retention,true_retention,592,3_7C_31PER_5_9C_NEWSTRUCTURE,737229,1,100
2,0.04081632653061224,5.108118057239874e-05,3.6448240279984834e-05,7.289648055996967e-05,1,true_retention,true_retention,593,3_7C_31PER_5_9C_NEWSTRUCTURE,737229,151,250
