n_estimators,max_depth,min_samples_leaf,min_samples_split,max_features,bootstrap,max_samples,criterion,n_jobs,valid_r2_5seed,valid_rmse_5seed,valid_mae_5seed
1000,18,1,2,0.25,True,0.85,squared_error,1,0.5255104662188511,0.03395848914803723,0.024483326998967683
800,18,1,2,0.3,True,0.85,squared_error,1,0.5250993658555556,0.03397319687466837,0.024465143160905877
1000,18,1,2,0.3,True,0.85,squared_error,1,0.5250131647111298,0.03397628004129275,0.024466363030096278
1200,18,1,2,0.3,True,0.85,squared_error,1,0.5249826746846595,0.03397737051472996,0.024467876986090185
1000,18,1,2,0.35,True,0.85,squared_error,1,0.5249761492837699,0.03397760389064124,0.02445045740372607
1000,20,1,2,0.3,True,0.85,squared_error,1,0.5248848081280781,0.033980870468122586,0.02440318142799451
1000,18,1,2,0.3,True,0.95,squared_error,1,0.5246520484863904,0.03398919308851362,0.024454179546203977
1000,18,1,2,0.3,True,0.75,squared_error,1,0.5243722013897254,0.03399919668423847,0.024492601850382576
1000,18,2,5,0.3,True,0.85,squared_error,1,0.5241665365464974,0.03400654663702152,0.024496058994343914
1000,16,1,2,0.3,True,0.85,squared_error,1,0.5227438214602566,0.03405734751593006,0.024590505070833445
500,24,1,2,0.4,True,0.75,squared_error,1,0.5224433330794913,0.034068067363390346,0.024363482490290158
600,16,2,5,0.2,True,,squared_error,1,0.520544142699869,0.03413574262575048,0.02472936552668729
