priority_rank,cross_bin,cross_label,soc_label,rate_label,temp_label,tactical_action,effect_per_1pp_ah,effect_per_5pp_ah,ci_low,ci_high,q_value,evidence_tier,support_domain,strategy_compatibility,strategic_risk_level,decision_class,priority_score,rate_lower_c,rate_upper_c,rate_mid_c
1,50,s3_r2_t5,"[90,100]","[0.434,1.99)","[36,60]",增加份额,0.0001406503153468,0.0007032515767341,6.019588038801647e-05,0.0002294126614251,0.0,A,高,兼容,低,可上线,1184.6503153468,0.434,1.99,1.212
2,25,s2_r1_t5,"[10,90)","[0,0.434)","[36,60]",观察验证,0.0001505642540892,0.0007528212704463,-0.0001664761551463,0.0059670029432351,0.3942857142857143,C,低,兼容,低,待验证,1150.5642540892,0.0,0.434,0.217
3,44,s3_r1_t4,"[90,100]","[0,0.434)","[34,36)",增加份额,0.0001080592627712,0.0005402963138561,2.124169497676891e-05,0.0002033099795524,0.0666666666666666,B,高,兼容,低,可上线,1142.0592627711999,0.0,0.434,0.217
4,41,s3_r1_t1,"[90,100]","[0,0.434)","[20,31)",降低份额,-7.655746506088019e-05,-0.0003827873253044,-0.0001349504319793,-2.330520774298508e-05,0.02,A,高,兼容,低,可上线,1120.55746506088,0.0,0.434,0.217
5,27,s2_r2_t2,"[10,90)","[0.434,1.99)","[31,32)",观察验证,9.010830184665104e-05,0.0004505415092332,-8.346333483033418e-05,0.0002722629248336,0.44,C,高,兼容,低,待验证,1090.108301846651,0.434,1.99,1.212
6,30,s2_r2_t5,"[10,90)","[0.434,1.99)","[36,60]",观察验证,8.590133197609276e-05,0.0004295066598804,-8.554386262584017e-05,0.0002639704336718,0.44,C,高,兼容,低,待验证,1085.9013319760927,0.434,1.99,1.212
7,29,s2_r2_t4,"[10,90)","[0.434,1.99)","[34,36)",观察验证,8.422448518565844e-05,0.0004211224259282,-6.501625819348572e-05,0.0002612965874987,0.3942857142857143,C,高,兼容,低,待验证,1084.2244851856585,0.434,1.99,1.212
8,28,s2_r2_t3,"[10,90)","[0.434,1.99)","[32,34)",观察验证,8.10050119735517e-05,0.0004050250598677,-7.124645628966533e-05,0.0002208544103445,0.3942857142857143,C,高,兼容,低,待验证,1081.0050119735517,0.434,1.99,1.212
9,43,s3_r1_t3,"[90,100]","[0,0.434)","[32,34)",观察验证,-2.334053986106041e-05,-0.0001167026993053,-7.110398422737548e-05,2.3585675224849102e-05,0.3942857142857143,C,高,兼容,低,待验证,1023.3405398610604,0.0,0.434,0.217
10,49,s3_r2_t4,"[90,100]","[0.434,1.99)","[34,36)",观察验证,-1.659735607335558e-05,-8.298678036677789e-05,-0.00010186411987,6.137545770357173e-05,0.692,C,高,兼容,低,待验证,1016.5973560733556,0.434,1.99,1.212
