feature,gain,weight,cover
discharge_duration_s_3p15_3p10,0.38423070311546326,2937.0,7770.45751953125
discharge_delta_ah_3p15_3p10,0.10793687403202057,5327.0,6032.38671875
discharge_duration_s_3p10_3p05,0.059452470391988754,3612.0,6118.77734375
discharge_delta_ah_3p10_3p05,0.04050718620419502,5749.0,3980.282470703125
discharge_duration_s_stats_sum,0.0289097111672163,1066.0,10539.291015625
initial_c_rate,0.012851741164922714,4602.0,5362.0234375
discharge_duration_s_3p20_3p15,0.011175650171935558,830.0,6801.80615234375
switch_soc_percent,0.008652289398014545,5512.0,5521.22265625
discharge_delta_ah_3p20_3p15,0.008141346275806427,1861.0,7409.25537109375
post_switch_c_rate,0.00671720877289772,3537.0,4125.72998046875
discharge_duration_s_3p30_3p25,0.005583289545029402,686.0,8299.236328125
discharge_duration_s_3p05_3p00,0.005497292149811983,2240.0,5612.505859375
discharge_avg_temper_3p15_3p10,0.005395681597292423,5633.0,4120.34375
discharge_duration_s_stats_mean,0.005120838060975075,784.0,8389.966796875
discharge_delta_ah_3p25_3p20,0.004321593325585127,701.0,5971.73876953125
discharge_avg_temper_3p10_3p05,0.003996147308498621,6129.0,3616.2890625
discharge_delta_ah_3p05_3p00,0.003702098038047552,2959.0,3346.962890625
discharge_delta_ah_stats_sum,0.0035220948047935963,2923.0,3507.48095703125
discharge_duration_s_3p35_3p30,0.0034292249474674463,820.0,8675.650390625
discharge_duration_s_3p40_3p35,0.0032191285863518715,964.0,7621.0703125
discharge_avg_temper_3p05_3p00,0.0029623904265463352,2515.0,3773.251708984375
discharge_duration_s_stats_std,0.002934310818091035,984.0,8154.43994140625
discharge_duration_s_2p85_2p80,0.0028684332501143217,551.0,8625.126953125
discharge_duration_s_3p00_2p95,0.0026632838416844606,741.0,7272.7001953125
discharge_duration_s_2p95_2p90,0.002605080371722579,330.0,7790.5302734375
discharge_delta_ah_3p30_3p25,0.0024309749715030193,803.0,4824.98486328125
discharge_duration_s_3p25_3p20,0.0024076190311461687,321.0,15463.37109375
discharge_delta_ah_stats_mean,0.0023930715397000313,2100.0,2034.8304443359375
discharge_delta_ah_2p85_2p80,0.0023604806046932936,1287.0,4276.39013671875
discharge_avg_temper_stats_std,0.0022689662873744965,4836.0,3431.79345703125
discharge_avg_temper_3p20_3p15,0.0022027974482625723,952.0,6058.38134765625
discharge_delta_ah_3p00_2p95,0.0020908797159790993,1009.0,3559.652099609375
discharge_avg_temper_stats_mean,0.0020497716031968594,3154.0,1479.8626708984375
discharge_avg_temper_3p25_3p20,0.0020399633795022964,572.0,5567.30224609375
discharge_delta_ah_stats_std,0.0019363750470802188,2342.0,3437.97021484375
discharge_avg_temper_2p90_2p85,0.0016447174130007625,435.0,10222.080078125
discharge_delta_ah_2p90_2p85,0.0016065000090748072,612.0,6010.61279296875
discharge_avg_temper_3p30_3p25,0.0015686227707192302,712.0,5915.05908203125
discharge_avg_temper_3p35_3p30,0.0015472578816115856,573.0,5132.1884765625
discharge_avg_temper_3p40_3p35,0.0015043859602883458,524.0,5763.91796875
discharge_avg_temper_3p00_2p95,0.0014638802967965603,919.0,6582.16845703125
discharge_duration_s_2p90_2p85,0.0014317359309643507,328.0,10304.3203125
discharge_delta_ah_2p95_2p90,0.0014270748943090439,458.0,6847.9541015625
discharge_avg_temper_2p85_2p80,0.0013854695716872811,827.0,8293.796875
discharge_avg_temper_stats_sum,0.0013568793656304479,2437.0,4582.201171875
discharge_avg_temper_2p95_2p90,0.0012346570147201419,472.0,10975.5869140625
discharge_delta_ah_stats_nonnull_count,0.0012210365384817123,381.0,497.6010437011719
discharge_avg_temper_3p45_3p40,0.0010462163481861353,182.0,21287.224609375
discharge_duration_s_stats_nonnull_count,0.0010437469463795424,43.0,264.2558288574219
discharge_duration_s_3p45_3p40,0.0009680766379460692,226.0,15646.751953125
discharge_delta_ah_3p35_3p30,0.0006812028586864471,530.0,2713.48291015625
discharge_delta_ah_3p40_3p35,0.0006796473753638566,447.0,3011.836669921875
discharge_avg_temper_stats_nonnull_count,0.0005958625115454197,9.0,51.55555725097656
discharge_delta_ah_3p45_3p40,0.0005947233876213431,126.0,8990.603515625
